age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
36;*;divorced;secondary;*;861;*;*;telephone;*;*;*;*;-1;0;*;no
24;*;single;secondary;*;4126;*;*;cellular;*;*;*;*;185;7;*;yes
44;*;single;secondary;*;244;*;*;cellular;*;*;*;*;-1;0;*;yes
48;*;married;secondary;*;0;*;*;telephone;*;*;*;*;-1;0;*;no
38;*;married;secondary;*;257;*;*;cellular;*;*;*;*;-1;0;*;no
48;*;married;secondary;*;1513;*;*;cellular;*;*;*;*;-1;0;*;no
50;*;married;tertiary;*;4315;*;*;cellular;*;*;*;*;-1;0;*;no
46;*;married;tertiary;*;-780;*;*;cellular;*;*;*;*;-1;0;*;no
46;*;married;tertiary;*;474;*;*;unknown;*;*;*;*;-1;0;*;no
45;*;married;secondary;*;248;*;*;cellular;*;*;*;*;-1;0;*;no
63;*;married;tertiary;*;262;*;*;cellular;*;*;*;*;-1;0;*;no
46;*;married;primary;*;10333;*;*;unknown;*;*;*;*;-1;0;*;no
55;*;married;tertiary;*;3567;*;*;cellular;*;*;*;*;-1;0;*;no
50;*;married;secondary;*;732;*;*;cellular;*;*;*;*;-1;0;*;no
59;*;divorced;secondary;*;679;*;*;cellular;*;*;*;*;-1;0;*;yes
59;*;married;secondary;*;506;*;*;cellular;*;*;*;*;-1;0;*;no
60;*;married;secondary;*;725;*;*;cellular;*;*;*;*;-1;0;*;no
52;*;married;tertiary;*;523;*;*;cellular;*;*;*;*;-1;0;*;no
53;*;married;secondary;*;0;*;*;telephone;*;*;*;*;-1;0;*;no
50;*;married;tertiary;*;412;*;*;cellular;*;*;*;*;-1;0;*;no
25;*;single;secondary;*;-439;*;*;unknown;*;*;*;*;-1;0;*;no
44;*;married;secondary;*;72;*;*;unknown;*;*;*;*;-1;0;*;no
39;*;married;primary;*;2715;*;*;unknown;*;*;*;*;-1;0;*;no
50;*;married;secondary;*;1772;*;*;cellular;*;*;*;*;-1;0;*;no
55;*;divorced;primary;*;96;*;*;unknown;*;*;*;*;-1;0;*;no
52;*;married;tertiary;*;249;*;*;telephone;*;*;*;*;-1;0;*;no
37;*;married;secondary;*;6127;*;*;cellular;*;*;*;*;-1;0;*;no
39;*;divorced;secondary;*;265;*;*;unknown;*;*;*;*;555;2;*;yes
37;*;single;tertiary;*;1467;*;*;cellular;*;*;*;*;-1;0;*;no
42;*;married;secondary;*;370;*;*;unknown;*;*;*;*;-1;0;*;no
33;*;single;tertiary;*;12;*;*;cellular;*;*;*;*;-1;0;*;no
31;*;married;primary;*;26;*;*;unknown;*;*;*;*;-1;0;*;no
56;*;married;tertiary;*;0;*;*;cellular;*;*;*;*;-1;0;*;no
44;*;single;secondary;*;-228;*;*;cellular;*;*;*;*;362;2;*;no
52;*;married;secondary;*;230;*;*;cellular;*;*;*;*;-1;0;*;no
37;*;married;tertiary;*;2685;*;*;unknown;*;*;*;*;-1;0;*;no
57;*;single;secondary;*;7400;*;*;cellular;*;*;*;*;-1;0;*;no
48;*;married;tertiary;*;9207;*;*;cellular;*;*;*;*;-1;0;*;no
33;*;divorced;tertiary;*;47;*;*;cellular;*;*;*;*;-1;0;*;no
43;*;married;tertiary;*;177;*;*;unknown;*;*;*;*;-1;0;*;no
34;*;single;secondary;*;151;*;*;cellular;*;*;*;*;370;1;*;yes
33;*;married;unknown;*;2655;*;*;cellular;*;*;*;*;-1;0;*;no
36;*;married;secondary;*;1031;*;*;cellular;*;*;*;*;-1;0;*;yes
38;*;married;secondary;*;1448;*;*;cellular;*;*;*;*;-1;0;*;no
39;*;divorced;tertiary;*;113;*;*;cellular;*;*;*;*;-1;0;*;no
29;*;single;secondary;*;-125;*;*;unknown;*;*;*;*;-1;0;*;no
50;*;married;primary;*;1549;*;*;cellular;*;*;*;*;299;6;*;no
52;*;married;tertiary;*;3634;*;*;cellular;*;*;*;*;-1;0;*;yes
58;*;divorced;secondary;*;1713;*;*;unknown;*;*;*;*;-1;0;*;no
59;*;single;tertiary;*;68;*;*;unknown;*;*;*;*;-1;0;*;no
41;*;married;secondary;*;-18;*;*;unknown;*;*;*;*;-1;0;*;no
23;*;single;unknown;*;231;*;*;cellular;*;*;*;*;367;1;*;no
36;*;married;tertiary;*;9;*;*;unknown;*;*;*;*;-1;0;*;no
46;*;married;primary;*;44;*;*;cellular;*;*;*;*;-1;0;*;no
31;*;married;secondary;*;31;*;*;cellular;*;*;*;*;-1;0;*;no
70;*;married;primary;*;2346;*;*;cellular;*;*;*;*;184;5;*;yes
25;*;single;secondary;*;579;*;*;unknown;*;*;*;*;-1;0;*;no
48;*;married;tertiary;*;-471;*;*;unknown;*;*;*;*;-1;0;*;no
57;*;divorced;tertiary;*;3767;*;*;cellular;*;*;*;*;-1;0;*;no
42;*;divorced;secondary;*;1689;*;*;cellular;*;*;*;*;-1;0;*;no
26;*;single;unknown;*;689;*;*;cellular;*;*;*;*;-1;0;*;yes
43;*;single;secondary;*;733;*;*;cellular;*;*;*;*;-1;0;*;yes
33;*;married;secondary;*;5034;*;*;unknown;*;*;*;*;-1;0;*;no
27;*;married;secondary;*;4;*;*;unknown;*;*;*;*;-1;0;*;no
29;*;single;secondary;*;-20;*;*;unknown;*;*;*;*;-1;0;*;yes
