age,job_0,job_1,job_2,job_3,marital_0,marital_1,education_0,education_1,education_2,default_0,default_1,balance,housing_0,housing_1,loan_0,loan_1,contact_0,contact_1,day,month_0,month_1,month_2,month_3,duration,campaign,pdays,previous,poutcome_0,poutcome_1,poutcome_2,y
45,0,1,0,0,0,1,0,0,1,0,1,-677,1,0,0,1,0,1,22,0,1,0,1,245,2,15,0,0,0,1,no
55,0,0,1,0,0,1,0,0,0,0,1,-3,0,1,0,1,0,0,25,1,0,0,1,92,2,3,0,0,0,1,no
31,0,0,1,0,1,0,0,1,0,0,1,-474,0,1,0,1,1,0,9,0,1,0,0,80,1,340,3,0,0,1,no
22,0,0,0,1,0,0,0,0,0,0,1,-279,1,0,1,0,0,1,16,0,1,1,1,284,1,27,0,0,1,1,yes
56,0,1,0,1,0,1,0,0,0,0,1,613,1,0,1,1,1,0,25,1,1,0,0,89,1,7,0,0,0,1,no
29,0,1,0,0,1,0,1,1,0,0,1,3321,0,1,0,1,0,0,4,0,0,1,1,1047,1,-1,0,0,0,1,no
34,1,0,0,0,1,1,0,1,0,0,1,2956,0,1,1,1,1,0,2,0,0,0,1,48,2,608,6,0,1,1,no
23,0,0,0,0,1,0,0,1,0,0,1,7001,0,1,0,1,1,0,6,0,0,0,0,511,1,2,0,0,0,1,no
40,0,1,0,1,0,1,0,0,1,0,1,376,0,0,0,1,0,0,16,1,1,0,1,52,2,184,0,0,0,1,no
47,0,1,0,0,0,1,0,1,0,0,1,2301,0,0,0,1,1,1,18,0,1,0,0,116,1,15,0,0,0,1,no
51,0,1,1,1,0,1,0,1,0,0,1,2470,0,1,0,0,1,0,30,0,0,0,1,429,2,91,0,0,0,1,no
46,0,0,1,1,0,1,0,0,0,0,1,-543,0,1,0,0,1,1,13,0,1,0,0,54,1,474,3,0,0,0,no
35,0,1,1,0,1,1,0,0,0,0,1,1002,1,0,0,1,1,0,12,0,0,0,1,252,1,7,0,0,0,1,no
28,0,1,0,0,1,1,0,1,0,0,0,-1506,0,0,0,0,1,0,29,0,0,0,0,59,1,288,1,0,0,1,no
35,0,1,0,1,0,1,0,1,0,0,0,-510,1,1,1,1,0,1,29,0,0,1,1,4,1,-1,0,0,0,1,no
39,0,1,0,0,1,0,0,1,0,0,1,2027,0,1,0,1,1,0,11,1,0,0,1,462,1,106,0,0,0,1,no
30,0,1,0,0,1,1,1,1,0,0,1,1033,0,1,0,1,1,0,17,0,0,1,1,413,6,0,0,0,0,1,no
45,0,1,0,1,0,1,1,1,0,0,1,1263,1,0,0,1,0,1,26,0,0,0,1,204,1,-1,0,0,0,1,no
30,0,1,1,0,0,1,0,1,1,0,1,6006,0,1,0,1,1,0,25,0,0,1,0,428,1,120,0,0,0,0,no
34,0,1,1,1,1,1,0,0,0,0,1,-143,1,0,1,1,0,0,2,0,0,1,1,568,2,8,0,1,0,1,no
41,0,0,0,0,1,0,1,0,0,0,1,1679,0,1,0,1,1,0,24,0,0,0,0,46,4,11,0,0,0,1,yes
41,0,1,1,0,1,0,0,0,1,0,1,1781,1,0,0,1,0,0,29,0,1,0,0,282,2,76,0,0,0,1,no
39,0,1,1,0,0,0,0,1,0,0,1,3409,0,1,0,1,1,1,9,0,0,1,1,130,1,10,0,0,0,1,yes
60,0,1,0,1,0,1,0,1,1,0,1,3703,0,1,0,0,0,0,18,0,0,0,1,372,1,177,0,0,0,1,no
41,0,0,0,1,1,1,1,0,0,0,1,6276,0,1,0,1,1,0,15,0,0,0,1,145,2,305,2,0,0,1,no
31,0,0,1,1,0,1,0,0,1,0,0,976,0,1,1,1,1,1,24,0,1,0,0,4,2,204,1,0,0,1,no
42,0,0,0,0,0,1,0,1,0,0,1,4230,1,0,0,1,1,0,16,0,0,0,1,25,6,49,0,0,1,1,no
36,0,0,1,1,1,1,0,1,0,0,1,1038,0,1,0,1,0,1,15,1,0,1,1,276,1,116,0,0,0,0,no
45,0,0,0,0,0,1,0,1,0,0,1,44,0,1,0,1,1,0,8,0,0,0,0,209,1,581,5,0,1,0,yes
38,0,0,0,1,0,1,0,0,1,0,1,4426,0,0,0,1,1,0,12,0,0,0,0,26,1,69,0,0,1,1,no
35,0,1,0,0,0,0,0,0,1,0,1,2134,1,0,0,1,1,0,19,0,0,0,0,112,1,24,0,0,0,1,no
28,0,1,0,0,1,1,0,1,1,0,1,1064,1,1,0,1,1,0,12,1,0,1,1,319,1,25,0,0,0,1,yes
33,0,0,0,0,1,0,0,1,1,0,1,-91,0,1,0,1,1,1,23,0,0,1,1,108,1,108,0,0,0,1,no
