age,job_0,job_1,job_2,job_3,marital_0,marital_1,education_0,education_1,education_2,default_0,default_1,balance,housing_0,housing_1,loan_0,loan_1,contact_0,contact_1,day,month_0,month_1,month_2,month_3,duration,campaign,pdays,previous,poutcome_0,poutcome_1,poutcome_2,y
40,1,0,1,0,0,1,1,0,0,0,1,81,1,0,0,1,1,0,19,0,1,1,0,140,6,-1,0,0,0,1,no
26,0,1,1,1,1,0,1,0,0,0,1,30,1,0,0,1,0,1,6,0,0,0,1,324,1,-1,0,0,0,1,no
53,0,0,0,1,1,1,0,0,1,0,1,722,1,0,0,1,0,1,4,0,0,0,0,239,1,-1,0,0,0,1,no
45,0,1,0,0,0,1,0,1,0,0,1,1148,0,1,0,1,1,0,18,0,1,1,0,1020,10,-1,0,0,0,1,no
57,1,0,0,1,0,1,0,0,1,0,1,-46,0,1,0,1,1,0,30,1,0,1,1,149,1,-1,0,0,0,1,no
39,0,1,0,0,0,1,1,0,0,0,1,-202,1,0,1,0,1,0,4,0,0,0,1,54,1,-1,0,0,0,1,no
42,0,0,1,1,0,1,1,0,0,0,1,-110,0,1,0,1,1,0,15,0,0,1,1,487,8,-1,0,0,0,1,no
35,0,1,0,0,0,1,0,1,0,0,1,662,1,0,0,1,1,0,29,1,0,0,0,106,4,-1,0,0,0,1,no
37,0,0,0,1,1,0,0,1,0,0,1,613,0,1,0,1,0,1,25,0,0,1,0,45,3,-1,0,0,0,1,no
44,0,1,1,1,0,1,0,1,0,0,1,235,0,1,0,1,1,0,16,1,0,1,1,137,2,346,2,0,1,0,no
35,0,0,0,1,1,0,0,0,1,0,1,1105,0,1,0,1,1,0,15,0,1,0,0,866,1,-1,0,0,0,1,no
55,1,0,0,0,0,1,0,1,0,0,1,75,1,0,1,0,1,0,31,0,0,1,1,34,4,-1,0,0,0,1,no
55,0,1,0,0,1,1,1,0,0,0,1,668,0,1,0,1,0,1,15,0,0,0,1,53,1,-1,0,0,0,1,no
57,1,0,0,0,1,1,0,1,0,0,1,412,1,0,0,1,0,1,4,0,0,0,1,460,2,-1,0,0,0,1,no
43,0,1,0,0,0,1,0,1,0,0,1,20,1,0,0,1,1,0,6,0,0,0,1,110,1,-1,0,0,0,1,no
33,1,0,1,0,1,0,0,0,0,0,1,118,1,0,0,1,1,0,8,0,0,1,1,248,1,-1,0,0,0,1,no
51,0,1,1,1,1,0,0,1,0,0,1,260,1,0,0,1,1,0,28,1,0,0,0,236,5,-1,0,0,0,1,no
37,1,0,0,1,1,0,0,0,1,0,1,1325,0,1,0,1,1,0,14,0,0,0,1,657,1,344,6,0,1,0,yes
28,1,1,0,0,0,1,1,0,0,0,1,50,1,0,0,1,0,1,6,0,0,0,1,72,2,-1,0,0,0,1,no
46,0,0,0,0,0,1,0,0,1,0,1,1862,1,0,1,0,1,0,9,0,1,0,0,315,1,170,7,0,1,0,no
53,0,1,1,0,0,1,0,0,0,0,1,567,1,0,0,1,1,0,8,0,0,1,1,522,1,-1,0,0,0,1,no
56,0,1,0,0,0,1,0,1,0,0,1,67,0,1,0,1,1,0,5,1,0,0,1,436,2,297,2,0,1,0,no
41,1,0,0,1,0,1,1,0,0,0,1,71,1,0,0,1,0,1,3,0,0,1,0,74,1,-1,0,0,0,1,no
58,1,0,0,1,0,1,0,0,1,0,1,70,1,0,0,1,0,1,8,0,0,0,1,185,3,-1,0,0,0,1,no
66,0,1,1,1,1,1,1,0,0,0,1,1136,1,0,0,1,1,0,8,1,0,0,0,540,2,-1,0,0,0,1,yes
39,0,0,0,1,0,1,0,0,1,0,1,136,1,0,0,1,1,0,7,1,0,0,1,199,1,182,4,0,1,0,no
45,0,1,1,1,1,0,0,1,0,0,1,365,0,1,0,1,1,1,20,0,0,1,1,405,4,-1,0,0,0,1,no
48,0,1,1,0,0,1,0,0,1,0,1,537,0,1,0,1,1,0,21,1,0,1,1,236,5,-1,0,0,0,1,no
49,0,0,0,0,0,1,0,1,0,0,1,824,1,0,1,0,0,1,5,0,0,0,0,654,1,-1,0,0,0,1,no
35,0,0,1,0,0,1,0,0,1,0,1,735,1,0,0,1,1,0,19,0,1,0,0,138,6,-1,0,0,0,1,no
47,0,1,1,0,1,0,0,0,1,0,1,388,1,0,0,1,1,0,3,1,0,0,1,75,5,-1,0,0,0,1,no
53,0,1,0,0,1,1,0,1,0,0,1,519,0,1,1,0,1,1,2,0,0,1,1,220,4,-1,0,0,0,1,no
38,1,0,1,0,1,1,0,1,0,0,1,385,0,1,0,1,0,1,30,0,0,0,1,931,1,-1,0,0,0,1,no
33,0,0,0,1,0,1,0,0,1,0,1,597,0,1,0,1,0,1,15,0,0,0,1,914,1,-1,0,0,0,1,no
39,0,1,0,0,1,0,0,1,0,0,1,-305,0,1,0,1,0,1,6,0,0,0,1,165,2,352,2,0,1,1,no
42,0,0,1,0,0,1,0,1,0,0,1,90,0,1,0,1,1,0,11,0,0,0,1,1,5,-1,0,0,0,1,no
37,0,0,1,0,0,1,0,0,1,0,1,-2,0,1,0,1,1,0,20,0,0,1,1,174,1,-1,0,0,0,1,no
48,0,1,1,0,0,1,1,0,0,0,1,-9,0,1,0,1,1,0,6,0,0,0,1,6,6,-1,0,0,0,1,no
42,1,0,0,1,1,0,0,0,1,0,1,-59,1,0,0,1,1,0,24,0,0,0,1,143,16,-1,0,0,0,1,no
55,0,0,1,0,0,1,0,1,1,0,1,118,0,1,0,1,0,1,3,0,0,1,0,236,1,-1,0,0,0,1,no
44,0,1,1,0,1,0,0,0,1,0,1,-53,1,0,0,1,1,0,16,1,0,1,0,77,4,271,6,0,1,0,no
49,0,1,0,0,1,0,1,0,0,0,1,-5,1,0,0,1,1,0,8,0,0,1,1,77,1,-1,0,0,0,1,no
48,0,1,1,1,0,1,0,1,0,0,1,426,0,1,0,1,1,0,12,0,1,0,0,558,7,-1,0,0,0,1,no
