Loan_ID_0,Loan_ID_1,Loan_ID_2,Loan_ID_3,Loan_ID_4,Loan_ID_5,Loan_ID_6,Loan_ID_7,Loan_ID_8,Gender_0,Gender_1,Married_0,Married_1,Dependents_0,Dependents_1,Dependents_2,Education_0,Education_1,Self_Employed_0,Self_Employed_1,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area_0,Property_Area_1,Loan_Status
0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1930,7998.07484047,149.0,300.0,1.0,0,1,N
0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,6910,4896.59673822,254.0,360.0,1.0,1,1,Y
0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,6945,2438.54590224,145.0,360.0,1.0,1,0,N
1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,2269,5209.83479945,119.0,180.0,1.0,0,1,Y
0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,3512,3189.12695698,144.0,360.0,0.0,1,0,Y
0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,13032,1402.26679655,300.0,360.0,1.0,1,1,Y
1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,2552,7989.8160614,135.0,360.0,0.0,1,1,N
0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,5639,6369.9788585,283.0,360.0,1.0,1,1,Y
0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,5695,1939.92654197,107.0,360.0,1.0,1,1,Y
1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,6552,754.32874763,146.0,180.0,1.0,1,0,Y
1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,7655,3064.21583625,210.0,360.0,1.0,1,1,N
0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,8387,3687.07345354,182.0,360.0,1.0,0,0,Y
0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,2051,3161.47279559,53.0,360.0,1.0,0,0,Y
0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,9106,1068.99051289,195.0,360.0,1.0,0,0,Y
1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,8024,11152.85881727,174.0,360.0,1.0,1,1,N
0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,12564,1971.62572157,201.0,360.0,1.0,1,1,Y
0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,9176,591.33538466,176.0,360.0,1.0,0,0,Y
1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,3628,406.06670524,54.0,360.0,0.0,1,0,N
1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,4106,299.24105707,47.0,360.0,0.0,1,1,Y
1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,6605,3477.34677203,180.0,360.0,1.0,1,1,Y
0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,5597,8007.29907216,100.0,360.0,1.0,1,1,Y
0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,2595,4028.66980096,108.0,360.0,1.0,1,1,N
1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,5156,704.32955264,77.0,360.0,0.0,0,1,Y
0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,9596,1037.07513,143.0,360.0,1.0,1,0,Y
1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1084,3764.06433617,101.0,360.0,1.0,0,0,N
1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,3559,3108.40431805,265.0,360.0,1.0,0,0,Y
0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,4151,4227.41859779,151.0,360.0,1.0,0,1,N
1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,17075,506.72583502,132.0,360.0,1.0,1,1,Y
1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,5558,3204.87536654,172.0,360.0,1.0,1,0,Y
0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,4416,6908.23305908,334.0,360.0,1.0,0,1,Y
0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,9799,2259.81797435,222.0,360.0,1.0,0,1,N
0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,5967,4783.63220918,83.0,360.0,1.0,0,1,Y
0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,6916,6440.95562572,222.0,360.0,1.0,0,1,N
0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,5594,2115.57104671,81.0,360.0,1.0,1,0,Y
0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,2993,7184.90020175,47.0,360.0,1.0,1,0,N
0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,2849,4655.32720206,91.0,360.0,1.0,1,0,Y
1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,22851,407.1038523,246.0,360.0,1.0,1,1,Y
0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,7465,1827.58093286,171.0,360.0,1.0,0,1,Y
0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,8225,2758.50657759,196.0,360.0,1.0,1,1,N
0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,2102,1323.8818642,30.0,360.0,0.0,1,1,Y
1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,9374,1158.38601083,170.0,360.0,1.0,1,1,Y
0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,4319,3650.17950422,166.0,360.0,1.0,1,1,Y
0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,6308,3654.53594127,78.0,360.0,1.0,0,0,Y
0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,3588,7591.00527528,210.0,360.0,0.0,1,1,Y
