Loan_ID_0,Loan_ID_1,Loan_ID_2,Loan_ID_3,Loan_ID_4,Loan_ID_5,Loan_ID_6,Loan_ID_7,Loan_ID_8,Gender_0,Gender_1,Married_0,Married_1,Dependents_0,Dependents_1,Dependents_2,Education_0,Education_1,Self_Employed_0,Self_Employed_1,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area_0,Property_Area_1,Loan_Status
0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,3607,9.39668924,166.0,360.0,1.0,1,1,Y
0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,3736,90.77213521,71.0,360.0,1.0,1,1,Y
0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,2748,2331.66687892,169.0,360.0,1.0,1,1,Y
1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,4047,2200.59666187,160.0,360.0,1.0,0,1,Y
0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,2369,0.0,99.0,360.0,1.0,1,1,Y
0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,4404,227.68094413,137.0,360.0,1.0,1,1,Y
0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,3332,0.0,75.0,360.0,1.0,1,1,Y
0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,4096,934.79006105,92.0,360.0,1.0,1,1,Y
0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,4476,2182.77354084,191.0,360.0,1.0,1,1,Y
0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,3909,2936.72383286,106.0,360.0,1.0,1,1,Y
0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,2694,1859.44797299,86.0,360.0,1.0,1,1,Y
0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,4724,1665.03915816,87.0,360.0,1.0,1,1,Y
