school_0,school_1,sex_0,sex_1,age,address_0,address_1,famsize_0,famsize_1,Pstatus_0,Pstatus_1,Medu,Fedu,Mjob_0,Mjob_1,Mjob_2,Fjob_0,Fjob_1,Fjob_2,reason_0,reason_1,reason_2,guardian_0,guardian_1,traveltime,studytime,failures,schoolsup_0,schoolsup_1,famsup_0,famsup_1,paid_0,paid_1,activities_0,activities_1,nursery_0,nursery_1,higher_0,higher_1,internet_0,internet_1,romantic_0,romantic_1,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,1,0,1,15,0,1,1,1,1,0,4,3,0,1,1,0,0,0,0,1,0,0,1,2,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,4,4,3,1,1,5,8,13,0,12
0,0,0,1,15,1,1,1,1,1,0,1,2,0,0,1,0,1,0,0,1,1,0,1,2,2,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,4,4,2,1,1,2,0,8,0,11
0,1,1,1,16,1,0,1,0,1,0,2,4,1,0,0,1,1,0,1,0,1,1,0,1,4,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,5,5,3,2,2,1,3,11,0,12
0,1,1,0,17,1,1,1,0,1,1,4,3,0,0,1,0,1,1,0,1,0,0,0,1,4,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,4,3,2,2,3,3,0,7,0,11
0,0,1,0,19,1,0,0,0,1,0,4,4,0,1,1,0,1,0,0,1,1,0,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,4,4,2,1,5,3,3,5,0,7
0,1,0,1,16,0,1,0,1,1,0,3,1,0,1,1,0,0,0,0,0,1,0,0,2,2,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,5,4,5,1,2,5,9,16,0,17
0,1,0,1,16,1,1,0,1,1,0,3,3,0,1,0,0,1,0,0,1,0,1,0,2,2,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,5,4,2,2,2,3,1,6,0,6
0,0,0,1,18,0,1,0,1,1,0,4,4,0,0,0,0,0,1,0,0,1,0,0,2,2,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,3,2,3,1,3,5,4,13,0,14
0,1,0,0,15,0,1,1,1,1,0,1,2,1,0,0,0,1,1,0,1,0,0,1,1,4,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,5,3,5,3,2,5,0,9,0,8
0,0,0,0,17,0,0,1,1,1,0,4,3,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,4,4,1,1,3,5,15,11,0,11
0,1,1,0,17,0,1,1,0,1,0,2,2,1,1,1,0,1,0,0,1,1,0,1,3,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,3,3,2,1,5,1,0,10,0,8
1,1,0,1,17,0,1,0,1,1,0,3,2,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,4,4,1,1,5,5,36,12,0,18
0,1,1,0,15,0,1,0,1,1,0,4,4,0,0,1,0,1,0,1,0,0,0,1,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,4,3,4,5,2,5,0,8,0,9
0,0,0,1,18,0,1,1,0,0,0,2,3,0,1,1,0,0,0,0,0,0,1,1,2,2,3,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,4,2,3,1,1,5,11,11,0,15
0,0,1,1,17,0,0,0,1,1,0,3,4,0,0,1,0,1,0,0,0,0,0,1,2,4,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,5,4,5,1,3,5,0,13,0,14
0,1,1,1,15,0,1,1,0,1,0,4,1,1,1,1,0,1,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,4,3,3,1,2,4,0,10,0,7
0,1,1,1,16,0,0,1,0,1,1,2,3,0,1,1,0,1,0,1,0,0,0,1,2,2,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,3,3,3,3,2,3,0,8,0,8
