Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,19,1,9018,1,1,124.1,1,5,36,8,12,125.6,1,0,0,1,1,0,17,0,0,7,7,5,11.515697193629277,0,1,6,7,6,15.239135652894598,0,7.9,3.7,0.94,Graduate
2,42,1,9595,0,40,121.0,1,36,39,2,3,149.2,0,0,0,0,1,0,22,0,9,6,5,7,8.556210870567696,0,0,5,8,5,0.0,0,12.6,-0.2,1.39,Dropout
1,3,2,9039,1,1,135.0,1,1,1,5,8,121.3,1,0,0,1,0,1,17,0,0,7,9,6,15.848226751857428,0,0,6,8,6,14.922858621038191,0,12.6,0.9,1.6,Graduate
4,41,1,9163,0,16,132.3,1,35,37,7,12,125.2,0,0,0,0,1,0,19,0,0,5,4,0,0.0,0,0,5,0,0,0.0,0,16.2,3.0,0.45,Dropout
1,19,1,9127,1,1,129.1,1,37,17,7,6,122.8,1,0,0,1,0,1,17,0,0,6,8,5,12.538942876056861,0,0,16,11,6,13.920042632587815,0,13.0,1.5,2.07,Graduate
1,16,1,9086,0,1,135.3,1,37,39,10,5,124.8,0,0,0,1,1,0,22,0,0,5,14,1,0.0,0,0,14,4,0,0.0,0,10.7,-0.5,-3.37,Dropout
1,1,1,8793,0,1,149.3,1,39,36,10,10,130.3,0,0,0,1,0,0,20,0,0,5,18,5,11.060084923814273,0,0,6,14,8,13.6287116395672,2,16.2,2.3,-3.51,Dropout
6,18,1,9991,1,1,120.8,1,3,37,10,2,126.6,0,0,0,1,0,0,19,0,0,5,7,0,9.408403410673928,0,8,5,7,4,12.40143523757931,7,8.0,1.5,1.46,Dropout
1,4,1,9159,1,1,140.2,1,38,32,11,5,124.2,0,0,0,1,0,0,19,0,0,11,6,0,11.749091500143575,0,0,8,7,8,16.10330716010089,0,7.8,1.5,2.0,Enrolled
1,18,1,9549,0,2,129.7,1,37,37,5,9,113.5,1,0,1,0,0,0,47,0,0,6,8,7,0.35445054739877346,0,0,13,8,12,0.0,4,15.8,1.5,-1.93,Dropout
