Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,11,1,9856,1,1,138.0,64,44,3,7,15,164.1,0,0,0,1,0,0,44,0,0,10,9,8,18.6303644596463,0,3,9,16,5,17.894840379732237,0,12.5,1.6,1.27,Graduate
1,28,1,8720,1,1,135.9,107,21,6,10,12,168.4,1,0,0,1,0,0,18,0,0,6,9,12,18.87207001266849,0,2,5,16,15,18.571428571428573,0,14.4,1.4,-0.28,Dropout
1,3,1,5959,1,1,148.7,62,43,44,14,26,158.9,1,0,0,1,0,1,19,0,0,1,1,1,1.298708542849891,0,1,0,1,2,13.406109003049549,0,9.1,3.7,2.23,Graduate
2,1,6,8522,1,1,146.9,103,22,4,5,1,153.1,0,0,0,0,1,1,18,0,0,3,5,0,2.342165068882655,0,1,4,11,1,10.631171365700476,0,9.0,-0.8,3.19,Graduate
1,2,1,4782,1,1,148.7,107,30,44,5,14,159.7,1,0,0,1,0,0,42,1,0,5,4,9,18.835115296805427,0,2,4,18,6,18.571428571428573,0,11.8,3.7,-0.72,Dropout
1,1,1,9551,1,1,148.7,11,42,33,3,19,153.1,0,0,1,1,0,0,18,0,0,10,5,4,13.288834391740641,0,8,9,1,2,12.843065415119964,0,9.4,-0.5,1.28,Graduate
1,57,2,9813,1,1,118.8,2,41,11,10,6,150.2,1,0,0,1,1,0,21,0,0,7,11,9,18.8276612653609,0,6,7,20,12,18.571428571428573,0,9.1,-0.4,2.43,Enrolled
1,16,4,8942,1,1,131.9,12,18,38,15,21,150.5,0,0,1,0,1,0,18,0,0,5,3,0,0.13744291786656085,0,1,5,0,0,1.0026004947438838,0,13.7,3.1,2.32,Enrolled
1,20,1,8994,1,1,142.3,74,5,2,13,2,155.3,0,0,0,1,0,0,18,0,0,4,12,1,4.034071438498382,0,2,4,6,1,10.830428774339767,0,12.2,-0.8,-0.79,Graduate
1,17,1,9352,1,4,112.1,30,42,6,13,13,148.5,1,0,0,1,0,0,20,0,0,2,3,1,3.600109514477315,0,1,2,4,0,5.228483979581733,0,11.3,2.6,1.58,Enrolled
1,49,1,7517,1,1,122.8,26,1,4,2,8,164.9,0,0,0,1,1,0,20,0,0,5,13,4,16.45067577651066,0,3,5,24,11,18.571428571428573,0,15.4,1.6,-1.22,Dropout
