Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,1,1,9119,1,1,120.7,1,1,39,9,12,136.9,0,0,0,1,1,0,18,0,0,7,25,6,13.51229316196502,0,0,6,9,6,11.440386181856871,0,12.2,1.4,1.5,Enrolled
1,44,1,9253,0,1,146.7,1,36,36,1,10,125.8,1,0,0,1,0,0,20,0,0,7,14,4,10.271882130453573,7,0,5,21,3,12.092583630498611,0,10.6,0.1,1.75,Enrolled
1,19,1,8979,1,1,135.4,1,1,2,7,4,134.8,0,0,0,1,0,1,18,0,0,7,8,4,9.613993589939803,0,0,6,5,6,10.774461985547905,0,9.1,1.4,1.64,Enrolled
4,40,1,9050,1,5,134.6,1,36,29,7,11,106.9,0,0,0,0,1,0,20,0,0,5,2,0,0.0,0,0,5,11,0,11.34950751094376,0,8.7,-0.6,0.52,Dropout
1,39,5,9572,1,1,134.9,1,37,1,5,10,97.7,0,0,0,1,1,1,27,0,0,7,10,5,13.009910880811647,0,0,5,10,7,12.837369301984303,0,13.0,0.6,1.62,Enrolled
1,40,1,9206,0,1,130.3,1,1,1,0,12,124.9,0,0,0,1,1,0,19,0,2,6,14,0,14.812908429508797,0,0,10,10,0,14.832764935591568,0,15.0,2.7,-2.85,Graduate
1,15,1,9252,1,1,126.1,1,36,36,11,11,115.1,1,0,0,1,0,0,19,0,0,6,14,6,14.487621586221197,0,0,8,9,6,13.22336815842541,1,12.9,1.5,0.2,Graduate
1,15,1,9391,1,1,103.9,30,1,3,2,10,124.3,1,0,1,0,1,0,22,1,0,6,10,10,15.254400438798706,0,0,5,14,0,0.0,7,16.2,2.6,1.49,Dropout
1,17,1,9216,1,1,128.4,1,1,17,0,8,118.6,1,0,0,1,0,1,19,0,0,7,7,6,14.523580785731092,0,0,6,8,3,11.520831494206046,0,12.9,1.4,2.19,Enrolled
2,37,1,8109,0,1,137.5,1,38,27,5,12,110.9,0,0,1,0,1,0,35,0,0,5,0,0,0.0,0,0,5,6,0,0.1164196741655683,6,15.6,-0.7,-1.36,Dropout
1,57,1,9050,1,1,126.0,1,35,18,0,7,128.6,0,0,0,1,1,0,17,1,0,11,10,5,13.066528606383265,0,0,6,8,2,18.571428571428573,0,7.6,1.5,-4.06,Enrolled
1,39,1,8929,1,1,139.4,1,1,1,10,9,116.7,1,0,0,1,0,0,59,0,0,7,7,6,12.015828960182239,0,0,6,6,10,13.74165549335777,3,14.0,1.5,1.78,Enrolled
1,1,3,8989,1,1,117.0,1,1,18,2,189,116.3,0,0,0,1,1,1,19,0,0,6,10,6,12.09720228859283,0,0,6,9,7,12.232618532030264,0,10.6,3.7,0.97,Graduate
1,41,1,9220,1,1,156.7,1,1,19,1,9,124.1,0,0,0,1,0,1,19,0,0,6,8,5,14.156140728343466,0,0,8,7,6,13.495389804280396,0,10.5,0.6,0.84,Graduate
1,1,1,9451,1,1,106.8,1,19,38,0,12,112.4,1,0,0,1,0,0,19,0,0,5,12,4,11.451382460682204,1,0,5,8,6,11.66471630988442,0,12.4,0.6,-1.78,Graduate
1,16,1,8924,0,1,134.1,1,1,3,1,9,138.7,1,0,1,1,0,1,19,0,0,6,9,4,15.773946209494712,0,0,8,11,7,11.107802820996781,0,7.6,0.4,0.96,Graduate
1,44,5,9281,1,1,124.8,1,1,2,7,7,127.6,1,0,0,1,0,0,33,0,0,5,5,4,13.151903055880126,0,0,6,9,6,12.826431050022345,0,9.6,0.9,-3.86,Enrolled
1,1,1,8028,0,1,120.7,1,37,18,0,7,129.4,0,0,0,1,0,1,19,0,0,21,30,4,14.051487042841455,1,0,5,8,4,12.845318313017323,0,10.9,1.3,0.51,Enrolled
1,19,1,9633,1,1,130.4,1,35,18,3,12,131.2,0,0,0,1,0,1,21,0,0,7,9,6,13.93194864782169,0,0,6,7,4,13.251859167598537,0,13.0,1.4,0.73,Graduate
1,41,1,9209,1,5,125.4,1,38,38,5,13,139.1,0,0,0,1,1,0,27,0,0,5,12,5,0.0,0,0,8,6,7,0.3365301566347478,8,7.8,-0.7,-1.95,Enrolled
1,2,1,9643,1,1,139.5,1,1,19,2,10,152.4,1,0,0,1,0,1,19,0,0,6,10,6,15.597534112590125,0,0,8,8,6,11.637278722058042,0,11.2,0.8,1.71,Graduate
1,41,3,9015,1,1,127.3,24,1,32,4,8,99.0,1,0,0,1,1,0,22,0,1,5,14,4,13.814471373828438,0,0,5,9,5,15.202542364685396,0,7.6,0.5,3.51,Graduate
1,41,1,9011,1,41,115.5,1,1,37,3,9,159.1,0,0,0,1,1,0,55,0,0,5,8,5,8.909278568086851,0,0,11,5,8,0.24520782868597443,0,16.2,-0.8,-1.69,Dropout
1,1,3,9794,1,1,145.6,1,1,1,3,11,116.6,1,0,0,1,0,1,20,0,0,6,7,6,14.620003069576736,0,0,8,8,6,13.785008688704409,0,10.8,0.5,1.81,Graduate
1,16,1,9028,1,1,106.0,1,19,3,0,5,121.8,0,0,0,1,1,0,18,0,0,7,12,6,10.81492603563327,0,0,23,10,3,11.8496523943077,0,11.1,-0.5,-4.06,Enrolled
1,36,1,9324,1,1,104.1,38,37,1,0,195,134.7,0,0,0,1,1,1,18,0,0,5,10,5,14.187209281166654,1,0,5,5,4,0.0,0,8.8,1.5,0.24,Dropout
2,44,3,9230,1,2,118.3,1,12,1,1,6,152.0,0,0,0,0,1,0,40,0,0,5,28,4,12.91855804946874,1,0,5,16,3,12.78180350075172,0,12.2,1.3,-0.96,Graduate
1,40,1,9688,1,1,117.2,60,37,19,3,5,124.3,0,0,0,1,1,0,34,0,0,5,7,4,15.167650998725083,0,0,8,0,3,14.875804091107046,0,14.8,2.9,-1.19,Dropout
1,2,6,8974,1,1,137.5,1,35,18,0,11,137.2,1,0,0,1,0,1,19,0,0,8,8,6,11.217729538529236,0,0,6,8,6,10.951445911279562,0,12.8,1.5,1.95,Graduate
