Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.7565,0.8128,0.7565,0.7813,N/A,N/A,0.086,0.09
DecisionTree,Original,0.7381,0.8305,0.7381,0.7746,N/A,N/A,0.1468,0.1623
KNN,Anonymous,0.8729,0.8334,0.8729,0.8448,N/A,N/A,0.142,0.1657
KNN,Original,0.8819,0.8612,0.8819,0.8676,N/A,N/A,0.2998,0.3136
LogisticRegression,Anonymous,0.8825,0.819,0.8825,0.8289,N/A,N/A,0.0061,0.0274
LogisticRegression,Original,0.8786,0.8512,0.8786,0.8589,N/A,N/A,0.238,0.2582
RandomForest,Anonymous,0.8813,0.8278,0.8813,0.8329,N/A,N/A,0.0354,0.0768
RandomForest,Original,0.8718,0.8469,0.8718,0.8558,N/A,N/A,0.2351,0.2468
SVM,Anonymous,0.883,0.7797,0.883,0.8281,N/A,N/A,0.0,0.0
SVM,Original,0.8829,0.8361,0.8829,0.8302,N/A,N/A,0.014,0.0539
