Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.7592,0.8117,0.7592,0.7825,,,0.082,0.0853
DecisionTree,Original,0.7392,0.83,0.7392,0.7753,,,0.1457,0.1607
KNN,Anonymous,0.8729,0.8334,0.8729,0.8448,,,0.142,0.1657
KNN,Original,0.8819,0.8612,0.8819,0.8676,,,0.2998,0.3136
LogisticRegression,Anonymous,0.8825,0.819,0.8825,0.8289,,,0.0061,0.0274
LogisticRegression,Original,0.8786,0.8512,0.8786,0.8589,,,0.238,0.2582
RandomForest,Anonymous,0.8787,0.8119,0.8787,0.8304,,,0.0219,0.0443
RandomForest,Original,0.8677,0.8414,0.8677,0.8512,,,0.2111,0.2216
SVM,Anonymous,0.883,0.7797,0.883,0.8281,,,0.0,0.0
SVM,Original,0.8829,0.8361,0.8829,0.8302,,,0.014,0.0539
