run_name,total_sec,preprocessing_sec,anonymization_sec,synthesis_sec,ctgan_sec,tvae_sec,gaussian_sec,train_sec,evaluation_sec
bankMarketing_anon_k10_l2_sl0.01,,,,,,,,,
bankMarketing_anon_k10_l2_sl0.05,,,,,,,,,
bankMarketing_anon_k10_l2_sl0.1,,,,,,,,,
bankMarketing_anon_k10_l3_sl0.01,,,,,,,,,
bankMarketing_anon_k10_l3_sl0.05,,,,,,,,,
bankMarketing_anon_k10_l3_sl0.1,,,,,,,,,
bankMarketing_anon_k10_l4_sl0.01,,,,,,,,,
bankMarketing_anon_k10_l4_sl0.05,,,,,,,,,
bankMarketing_anon_k10_l4_sl0.1,,,,,,,,,
bankMarketing_anon_k10_l5_sl0.01,,,,,,,,,
bankMarketing_anon_k10_l5_sl0.05,,,,,,,,,
bankMarketing_anon_k10_l5_sl0.1,,,,,,,,,
bankMarketing_anon_k15_l2_sl0.01,,,,,,,,,
bankMarketing_anon_k15_l2_sl0.05,,,,,,,,,
bankMarketing_anon_k15_l2_sl0.1,,,,,,,,,
bankMarketing_anon_k15_l3_sl0.01,,,,,,,,,
bankMarketing_anon_k15_l3_sl0.05,,,,,,,,,
bankMarketing_anon_k15_l3_sl0.1,,,,,,,,,
bankMarketing_anon_k15_l4_sl0.01,,,,,,,,,
bankMarketing_anon_k15_l4_sl0.05,,,,,,,,,
bankMarketing_anon_k15_l4_sl0.1,,,,,,,,,
bankMarketing_anon_k15_l5_sl0.01,,,,,,,,,
bankMarketing_anon_k15_l5_sl0.05,,,,,,,,,
bankMarketing_anon_k15_l5_sl0.1,,,,,,,,,
bankMarketing_anon_k20_l2_sl0.01,,,,,,,,,
bankMarketing_anon_k20_l2_sl0.05,,,,,,,,,
bankMarketing_anon_k20_l2_sl0.1,,,,,,,,,
bankMarketing_anon_k20_l3_sl0.01,,,,,,,,,
bankMarketing_anon_k20_l3_sl0.05,,,,,,,,,
bankMarketing_anon_k20_l3_sl0.1,,,,,,,,,
bankMarketing_anon_k20_l4_sl0.01,,,,,,,,,
bankMarketing_anon_k20_l4_sl0.05,,,,,,,,,
bankMarketing_anon_k20_l4_sl0.1,,,,,,,,,
bankMarketing_anon_k20_l5_sl0.01,,,,,,,,,
bankMarketing_anon_k20_l5_sl0.05,,,,,,,,,
bankMarketing_anon_k20_l5_sl0.1,,,,,,,,,
bankMarketing_anon_k2_l2_sl0.01,,,,,,,,,
bankMarketing_anon_k2_l2_sl0.05,,,,,,,,,
bankMarketing_anon_k2_l2_sl0.1,,,,,,,,,
bankMarketing_anon_k2_l3_sl0.01,,,,,,,,,
bankMarketing_anon_k2_l3_sl0.05,,,,,,,,,
bankMarketing_anon_k2_l3_sl0.1,,,,,,,,,
bankMarketing_anon_k2_l4_sl0.01,,,,,,,,,
bankMarketing_anon_k2_l4_sl0.05,,,,,,,,,
bankMarketing_anon_k2_l4_sl0.1,,,,,,,,,
bankMarketing_anon_k2_l5_sl0.01,,,,,,,,,
bankMarketing_anon_k2_l5_sl0.05,,,,,,,,,
bankMarketing_anon_k2_l5_sl0.1,,,,,,,,,
bankMarketing_anon_k3_l2_sl0.01,,,,,,,,,
bankMarketing_anon_k3_l2_sl0.05,,,,,,,,,
bankMarketing_anon_k3_l2_sl0.1,,,,,,,,,
bankMarketing_anon_k3_l3_sl0.01,,,,,,,,,
bankMarketing_anon_k3_l3_sl0.05,,,,,,,,,
bankMarketing_anon_k3_l3_sl0.1,,,,,,,,,
