Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.8254,0.8196,0.8254,0.8224,0.5549,6.1302,0.1266,0.1267
DecisionTree,CTGAN_HYBRID,0.7638,0.8047,0.7638,0.7826,0.5327,8.4613,0.0519,0.0533
DecisionTree,GaussianCopula_HYBRID,0.8046,0.7984,0.8046,0.8015,0.5118,7.0429,0.0243,0.0243
DecisionTree,Original,0.8758,0.8757,0.8758,0.8757,0.6989,4.4761,0.3982,0.3982
DecisionTree,TVAE_HYBRID,0.8132,0.8169,0.8132,0.8151,0.5567,6.6615,0.1138,0.1139
KNN,Anonymous,0.8779,0.8378,0.8779,0.8459,0.6074,2.1672,0.1376,0.172
KNN,CTGAN_HYBRID,0.8612,0.8002,0.8612,0.8251,0.5397,1.9418,0.0214,0.0267
KNN,GaussianCopula_HYBRID,0.8758,0.7966,0.8758,0.8271,0.517,2.6062,0.0042,0.0081
KNN,Original,0.8821,0.8614,0.8821,0.8678,0.753,1.5055,0.3004,0.3144
KNN,TVAE_HYBRID,0.8655,0.8185,0.8655,0.8353,0.5615,2.353,0.0883,0.1036
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6905,0.3383,0.0027,0.0207
LogisticRegression,CTGAN_HYBRID,0.8825,0.8118,0.8825,0.8285,0.6297,0.3577,0.0032,0.0169
LogisticRegression,GaussianCopula_HYBRID,0.8829,0.7797,0.8829,0.8281,0.6288,0.3549,-0.0002,-0.0038
LogisticRegression,Original,0.9009,0.8857,0.9009,0.8866,0.8977,0.2487,0.3931,0.4191
LogisticRegression,TVAE_HYBRID,0.8752,0.809,0.8752,0.8303,0.5944,0.3874,0.0279,0.046
RandomForest,Anonymous,0.8446,0.8206,0.8446,0.8313,0.6601,1.1419,0.1258,0.1288
RandomForest,CTGAN_HYBRID,0.8154,0.7917,0.8154,0.8031,0.5936,0.7229,-0.0077,-0.0078
RandomForest,GaussianCopula_HYBRID,0.8775,0.7909,0.8775,0.8266,0.6088,0.63,-0.0023,-0.0052
RandomForest,Original,0.9056,0.8927,0.9056,0.8934,0.9242,0.2462,0.4338,0.4566
RandomForest,TVAE_HYBRID,0.8279,0.819,0.8279,0.8233,0.6384,1.3803,0.1234,0.1237
