Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.8314,0.8148,0.8314,0.8226,0.5462,6.0784,0.1017,0.1026
DecisionTree,Original,0.8726,0.8737,0.8726,0.8731,0.6958,4.5916,0.3885,0.3885
DecisionTree,TVAE,0.804,0.8618,0.804,0.8264,0.6976,7.0629,0.2941,0.312
KNN,CTGAN,0.8778,0.8118,0.8778,0.8306,0.563,2.7266,0.0254,0.0477
KNN,Original,0.8821,0.8614,0.8821,0.8678,0.753,1.5055,0.3004,0.3144
KNN,TVAE,0.7112,0.8627,0.7112,0.7603,0.7412,5.3757,0.2228,0.2734
LogisticRegression,CTGAN,0.8852,0.8654,0.8852,0.8362,0.7605,0.3197,0.0519,0.1344
LogisticRegression,Original,0.9009,0.8857,0.9009,0.8866,0.8977,0.2487,0.3931,0.4191
LogisticRegression,TVAE,0.8827,0.8885,0.8827,0.8854,0.8758,0.3685,0.4586,0.4594
RandomForest,CTGAN,0.884,0.8606,0.884,0.8322,0.75,0.3833,0.0261,0.0922
RandomForest,Original,0.9034,0.89,0.9034,0.8918,0.9246,0.2394,0.4276,0.4471
RandomForest,TVAE,0.8688,0.8776,0.8688,0.8728,0.8682,0.3545,0.4048,0.4061
