epochs,Dataset,Model,AUC-ROC
50.0,CTGAN,DecisionTree,0.57042
50.0,TVAE,DecisionTree,0.69504
100.0,CTGAN,DecisionTree,0.5536000000000001
100.0,TVAE,DecisionTree,0.71158
200.0,CTGAN,DecisionTree,0.60174
200.0,TVAE,DecisionTree,0.74196
300.0,CTGAN,DecisionTree,0.6075833333333334
300.0,GaussianCopula,DecisionTree,0.55288
300.0,TVAE,DecisionTree,0.7424999999999999
500.0,CTGAN,DecisionTree,0.60838
500.0,TVAE,DecisionTree,0.68468
750.0,CTGAN,DecisionTree,0.6277200000000001
750.0,TVAE,DecisionTree,0.65832
1000.0,CTGAN,DecisionTree,0.64182
1000.0,TVAE,DecisionTree,0.6748999999999999
