epochs,Dataset,Model,AUC-ROC
50.0,CTGAN,RandomForest,0.7332
50.0,TVAE,RandomForest,0.8429800000000001
100.0,CTGAN,RandomForest,0.7538199999999999
100.0,TVAE,RandomForest,0.8713000000000001
200.0,CTGAN,RandomForest,0.81046
200.0,TVAE,RandomForest,0.8803599999999999
300.0,CTGAN,RandomForest,0.7972333333333333
300.0,GaussianCopula,RandomForest,0.8107599999999999
300.0,TVAE,RandomForest,0.88066
500.0,CTGAN,RandomForest,0.81856
500.0,TVAE,RandomForest,0.86474
750.0,CTGAN,RandomForest,0.8537399999999999
750.0,TVAE,RandomForest,0.8667999999999999
1000.0,CTGAN,RandomForest,0.8698
1000.0,TVAE,RandomForest,0.8721399999999999
