epochs,Dataset,Model,Accuracy
50.0,CTGAN,RandomForest,0.88018
50.0,TVAE,RandomForest,0.8699199999999999
100.0,CTGAN,RandomForest,0.8842399999999999
100.0,TVAE,RandomForest,0.8703199999999999
200.0,CTGAN,RandomForest,0.89498
200.0,TVAE,RandomForest,0.8709199999999999
300.0,CTGAN,RandomForest,0.8950666666666667
300.0,GaussianCopula,RandomForest,0.88308
300.0,TVAE,RandomForest,0.86958
500.0,CTGAN,RandomForest,0.8927400000000001
500.0,TVAE,RandomForest,0.8900399999999999
750.0,CTGAN,RandomForest,0.89484
750.0,TVAE,RandomForest,0.8914
1000.0,CTGAN,RandomForest,0.89544
1000.0,TVAE,RandomForest,0.8934200000000001
