epochs,Dataset,Model,F1
50.0,CTGAN,DecisionTree,0.81516
50.0,TVAE,DecisionTree,0.8267
100.0,CTGAN,DecisionTree,0.8237
100.0,TVAE,DecisionTree,0.8329000000000001
200.0,CTGAN,DecisionTree,0.8172200000000001
200.0,TVAE,DecisionTree,0.8570800000000001
300.0,CTGAN,DecisionTree,0.8438500000000001
300.0,GaussianCopula,DecisionTree,0.8065599999999999
300.0,TVAE,DecisionTree,0.85808
500.0,CTGAN,DecisionTree,0.82186
500.0,TVAE,DecisionTree,0.85296
750.0,CTGAN,DecisionTree,0.8384
750.0,TVAE,DecisionTree,0.86492
1000.0,CTGAN,DecisionTree,0.83766
1000.0,TVAE,DecisionTree,0.87006
