epochs,Dataset,Model,F1
50.0,CTGAN,LogisticRegression,0.8562799999999999
50.0,TVAE,LogisticRegression,0.8571199999999999
100.0,CTGAN,LogisticRegression,0.8366
100.0,TVAE,LogisticRegression,0.8850199999999999
200.0,CTGAN,LogisticRegression,0.8683799999999999
200.0,TVAE,LogisticRegression,0.88308
300.0,CTGAN,LogisticRegression,0.8669333333333333
300.0,GaussianCopula,LogisticRegression,0.83184
300.0,TVAE,LogisticRegression,0.87978
500.0,CTGAN,LogisticRegression,0.8749800000000001
500.0,TVAE,LogisticRegression,0.88268
750.0,CTGAN,LogisticRegression,0.87712
750.0,TVAE,LogisticRegression,0.8828800000000001
1000.0,CTGAN,LogisticRegression,0.8814
1000.0,TVAE,LogisticRegression,0.88832
