epochs,Dataset,Model,Precision
50.0,CTGAN,DecisionTree,0.8211600000000001
50.0,TVAE,DecisionTree,0.8610599999999999
100.0,CTGAN,DecisionTree,0.8175000000000001
100.0,TVAE,DecisionTree,0.8667999999999999
200.0,CTGAN,DecisionTree,0.8311400000000001
200.0,TVAE,DecisionTree,0.8794000000000001
300.0,CTGAN,DecisionTree,0.8403666666666667
300.0,GaussianCopula,DecisionTree,0.8139199999999999
300.0,TVAE,DecisionTree,0.87974
500.0,CTGAN,DecisionTree,0.8356600000000001
500.0,TVAE,DecisionTree,0.8632799999999999
750.0,CTGAN,DecisionTree,0.84476
750.0,TVAE,DecisionTree,0.8621800000000001
1000.0,CTGAN,DecisionTree,0.84716
1000.0,TVAE,DecisionTree,0.86822
