epochs,Dataset,Model,Precision
50.0,CTGAN,LogisticRegression,0.85376
50.0,TVAE,LogisticRegression,0.8834799999999999
100.0,CTGAN,LogisticRegression,0.86494
100.0,TVAE,LogisticRegression,0.88828
200.0,CTGAN,LogisticRegression,0.8736
200.0,TVAE,LogisticRegression,0.8896799999999999
300.0,CTGAN,LogisticRegression,0.8734999999999999
300.0,GaussianCopula,LogisticRegression,0.8343999999999999
300.0,TVAE,LogisticRegression,0.88996
500.0,CTGAN,LogisticRegression,0.8762599999999999
500.0,TVAE,LogisticRegression,0.88414
750.0,CTGAN,LogisticRegression,0.87822
750.0,TVAE,LogisticRegression,0.8785399999999999
1000.0,CTGAN,LogisticRegression,0.87964
1000.0,TVAE,LogisticRegression,0.88444
