epochs,Dataset,Model,Recall
50.0,CTGAN,LogisticRegression,0.88454
50.0,TVAE,LogisticRegression,0.8413600000000001
100.0,CTGAN,LogisticRegression,0.8853200000000001
100.0,TVAE,LogisticRegression,0.88222
200.0,CTGAN,LogisticRegression,0.89398
200.0,TVAE,LogisticRegression,0.87806
300.0,CTGAN,LogisticRegression,0.8937499999999999
300.0,GaussianCopula,LogisticRegression,0.88262
300.0,TVAE,LogisticRegression,0.8725799999999999
500.0,CTGAN,LogisticRegression,0.89516
500.0,TVAE,LogisticRegression,0.8814
750.0,CTGAN,LogisticRegression,0.8962199999999999
750.0,TVAE,LogisticRegression,0.89056
1000.0,CTGAN,LogisticRegression,0.89678
1000.0,TVAE,LogisticRegression,0.8966
