Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.8237,0.8192,0.8237,0.8214,0.5547,6.1863,0.1246,0.1247,115,0.32,0.2,10.0,2.0,0.03,,,
DecisionTree,CTGAN_HYBRID,0.6982,0.8023,0.6982,0.7415,0.5238,10.7651,0.0346,0.0385,115,0.32,0.2,10.0,2.0,0.03,300,8,36168
DecisionTree,GaussianCopula_HYBRID,0.8056,0.801,0.8056,0.8033,0.5181,7.007,0.037,0.037,115,0.32,0.2,10.0,2.0,0.03,300,8,36168
DecisionTree,TVAE_HYBRID,0.7971,0.8106,0.7971,0.8036,0.543,7.2627,0.0829,0.0832,115,0.32,0.2,10.0,2.0,0.03,300,8,36168
DecisionTree,Anonymous,0.8213,0.8223,0.8213,0.8218,0.5652,6.2702,0.14,0.14,374,1.03,0.2,20.0,2.0,0.03,,,
DecisionTree,CTGAN_HYBRID,0.8493,0.8039,0.8493,0.8234,0.5167,5.4116,0.0424,0.0465,374,1.03,0.2,20.0,2.0,0.03,300,8,36168
DecisionTree,GaussianCopula_HYBRID,0.8046,0.8034,0.8046,0.804,0.5241,7.0429,0.0484,0.0484,374,1.03,0.2,20.0,2.0,0.03,300,8,36168
DecisionTree,TVAE_HYBRID,0.8472,0.8098,0.8472,0.826,0.528,5.4986,0.0706,0.0749,374,1.03,0.2,20.0,2.0,0.03,300,8,36168
DecisionTree,Anonymous,0.8189,0.8225,0.8189,0.8207,0.5677,6.4588,0.1409,0.141,386,1.07,0.2,5.0,2.0,0.03,,,
DecisionTree,CTGAN_HYBRID,0.6571,0.8041,0.6571,0.7137,0.5313,12.3133,0.0362,0.0432,386,1.07,0.2,5.0,2.0,0.03,300,8,36168
DecisionTree,GaussianCopula_HYBRID,0.7966,0.8008,0.7966,0.7987,0.5183,7.3299,0.0359,0.0359,386,1.07,0.2,5.0,2.0,0.03,300,8,36168
DecisionTree,TVAE_HYBRID,0.7988,0.8187,0.7988,0.8082,0.5667,7.2405,0.1206,0.1215,386,1.07,0.2,5.0,2.0,0.03,300,8,36168
