Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6905,0.3383,0.0027,0.0207,115,0.32,0.2,10.0,2.0,0.05,,,
LogisticRegression,CTGAN_HYBRID,0.8829,0.7797,0.8829,0.8281,0.6463,0.3664,-0.0002,-0.0038,115,0.32,0.2,10.0,2.0,0.05,300,8,36168
LogisticRegression,GaussianCopula_HYBRID,0.8829,0.7797,0.8829,0.8281,0.6288,0.3549,-0.0002,-0.0038,115,0.32,0.2,10.0,2.0,0.05,300,8,36168
LogisticRegression,TVAE_HYBRID,0.8625,0.8138,0.8625,0.8322,0.6714,0.3836,0.0728,0.0849,115,0.32,0.2,10.0,2.0,0.05,300,8,36168
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6895,0.3388,0.0027,0.0207,374,1.03,0.2,20.0,2.0,0.05,,,
LogisticRegression,CTGAN_HYBRID,0.8831,0.8968,0.8831,0.8284,0.6507,0.3508,0.0017,0.0289,374,1.03,0.2,20.0,2.0,0.05,300,8,36168
LogisticRegression,GaussianCopula_HYBRID,0.8828,0.7797,0.8828,0.828,0.6297,0.3559,-0.0004,-0.0054,374,1.03,0.2,20.0,2.0,0.05,300,8,36168
LogisticRegression,TVAE_HYBRID,0.8308,0.8137,0.8308,0.8218,0.663,0.5555,0.0967,0.0976,374,1.03,0.2,20.0,2.0,0.05,300,8,36168
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6901,0.3386,0.0027,0.0207,386,1.07,0.2,5.0,2.0,0.05,,,
LogisticRegression,CTGAN_HYBRID,0.883,0.7797,0.883,0.8281,0.6299,0.4163,0.0,0.0,386,1.07,0.2,5.0,2.0,0.05,300,8,36168
LogisticRegression,GaussianCopula_HYBRID,0.8828,0.7797,0.8828,0.828,0.6302,0.3559,-0.0004,-0.0054,386,1.07,0.2,5.0,2.0,0.05,300,8,36168
LogisticRegression,TVAE_HYBRID,0.8079,0.8134,0.8079,0.8106,0.6556,0.5451,0.0966,0.0967,386,1.07,0.2,5.0,2.0,0.05,300,8,36168
