Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6905,0.3383,0.0027,0.0207,115,0.32,0.2,10.0,2.0,0.08,,,
LogisticRegression,CTGAN_HYBRID,0.8782,0.8081,0.8782,0.8295,0.6237,0.4971,0.017,0.0348,115,0.32,0.2,10.0,2.0,0.08,300,8,36168
LogisticRegression,GaussianCopula_HYBRID,0.8829,0.7797,0.8829,0.8281,0.6288,0.3549,-0.0002,-0.0038,115,0.32,0.2,10.0,2.0,0.08,300,8,36168
LogisticRegression,TVAE_HYBRID,0.8771,0.8113,0.8771,0.8306,0.6728,0.3519,0.0267,0.0481,115,0.32,0.2,10.0,2.0,0.08,300,8,36168
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6895,0.3388,0.0027,0.0207,374,1.03,0.2,20.0,2.0,0.08,,,
LogisticRegression,CTGAN_HYBRID,0.8288,0.817,0.8288,0.8227,0.6478,0.4496,0.1133,0.1138,374,1.03,0.2,20.0,2.0,0.08,300,8,36168
LogisticRegression,GaussianCopula_HYBRID,0.8828,0.7797,0.8828,0.828,0.6297,0.3559,-0.0004,-0.0054,374,1.03,0.2,20.0,2.0,0.08,300,8,36168
LogisticRegression,TVAE_HYBRID,0.8685,0.8087,0.8685,0.8302,0.6582,0.4027,0.042,0.0558,374,1.03,0.2,20.0,2.0,0.08,300,8,36168
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6901,0.3386,0.0027,0.0207,386,1.07,0.2,5.0,2.0,0.08,,,
LogisticRegression,CTGAN_HYBRID,0.8439,0.8166,0.8439,0.8287,0.6723,0.3864,0.1057,0.1089,386,1.07,0.2,5.0,2.0,0.08,300,8,36168
LogisticRegression,GaussianCopula_HYBRID,0.8828,0.7797,0.8828,0.828,0.6302,0.3559,-0.0004,-0.0054,386,1.07,0.2,5.0,2.0,0.08,300,8,36168
LogisticRegression,TVAE_HYBRID,0.8769,0.8008,0.8769,0.8281,0.6632,0.3576,0.009,0.018,386,1.07,0.2,5.0,2.0,0.08,300,8,36168
