Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6905,0.3383,0.0027,0.0207,115,0.32,0.2,10.0,2.0,0.1,,,
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6895,0.3388,0.0027,0.0207,374,1.03,0.2,20.0,2.0,0.1,,,
LogisticRegression,CTGAN_HYBRID,0.8822,0.801,0.8822,0.8282,0.6384,0.3495,0.0013,0.007,374,1.03,0.2,20.0,2.0,0.1,300,8,36168
LogisticRegression,GaussianCopula_HYBRID,0.8828,0.7797,0.8828,0.828,0.6297,0.3559,-0.0004,-0.0054,374,1.03,0.2,20.0,2.0,0.1,300,8,36168
LogisticRegression,TVAE_HYBRID,0.8045,0.8128,0.8045,0.8086,0.6505,0.5512,0.0939,0.094,374,1.03,0.2,20.0,2.0,0.1,300,8,36168
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6901,0.3386,0.0027,0.0207,386,1.07,0.2,5.0,2.0,0.1,,,
LogisticRegression,CTGAN_HYBRID,0.8829,0.7797,0.8829,0.8281,0.6362,0.393,-0.0002,-0.0038,386,1.07,0.2,5.0,2.0,0.1,300,8,36168
LogisticRegression,GaussianCopula_HYBRID,0.8828,0.7797,0.8828,0.828,0.6302,0.3559,-0.0004,-0.0054,386,1.07,0.2,5.0,2.0,0.1,300,8,36168
LogisticRegression,TVAE_HYBRID,0.8778,0.805,0.8778,0.8289,0.6085,0.4044,0.0134,0.0275,386,1.07,0.2,5.0,2.0,0.1,300,8,36168
LogisticRegression,CTGAN_HYBRID,0.8717,0.8147,0.8717,0.833,0.6614,0.3648,0.0554,0.0757,,,0.2,10,2,0.1,1000.0,10.0,361680
LogisticRegression,TVAE_HYBRID,0.8828,0.7797,0.8828,0.828,0.5457,0.381,-0.0004,-0.0054,,,0.2,10,2,0.1,1000.0,10.0,361680
LogisticRegression,CTGAN_HYBRID,0.8653,0.8105,0.8653,0.8308,0.6646,0.3684,0.0542,0.067,,,0.2,10,2,0.1,1000.0,1.0,36168
LogisticRegression,TVAE_HYBRID,0.8829,0.7797,0.8829,0.8281,0.5429,0.3829,-0.0002,-0.0038,,,0.2,10,2,0.1,1000.0,1.0,36168
LogisticRegression,CTGAN_HYBRID,0.8815,0.7869,0.8815,0.8276,0.6647,0.3467,-0.0016,-0.0071,,,0.2,10,2,0.1,1000.0,2.0,72336
LogisticRegression,TVAE_HYBRID,0.8829,0.7797,0.8829,0.8281,0.542,0.3829,-0.0002,-0.0038,,,0.2,10,2,0.1,1000.0,2.0,72336
LogisticRegression,CTGAN_HYBRID,0.8238,0.8181,0.8238,0.8209,0.6725,0.4303,0.1196,0.1197,,,0.2,10,2,0.1,1000.0,3.0,108504
LogisticRegression,TVAE_HYBRID,0.8813,0.8033,0.8813,0.8284,0.6108,0.3676,0.0039,0.0136,,,0.2,10,2,0.1,1000.0,3.0,108504
LogisticRegression,CTGAN_HYBRID,0.8812,0.7861,0.8812,0.8275,0.6424,0.3553,-0.0021,-0.0085,,,0.2,10,2,0.1,1000.0,5.0,180840
LogisticRegression,TVAE_HYBRID,0.8828,0.7797,0.8828,0.828,0.5446,0.3816,-0.0004,-0.0054,,,0.2,10,2,0.1,1000.0,5.0,180840
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6905,0.3383,0.0027,0.0207,115,0.32,0.2,10.0,2.0,0.1,,,
LogisticRegression,CTGAN_HYBRID,0.8828,0.8288,0.8828,0.8291,0.6491,0.3585,0.0067,0.034,115,0.32,0.2,10.0,2.0,0.1,300,8,36168
