Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.8441,0.8205,0.8441,0.8311,0.6646,1.0884,0.1256,0.1284,115,0.32,0.2,10.0,2.0,0.03,,,
RandomForest,CTGAN_HYBRID,0.7358,0.7933,0.7358,0.762,0.5794,0.8067,-0.0002,-0.0002,115,0.32,0.2,10.0,2.0,0.03,300,8,36168
RandomForest,GaussianCopula_HYBRID,0.8779,0.7933,0.8779,0.827,0.6035,0.6502,-0.0,-0.0001,115,0.32,0.2,10.0,2.0,0.03,300,8,36168
RandomForest,TVAE_HYBRID,0.828,0.8095,0.828,0.8183,0.6216,1.2269,0.0765,0.0773,115,0.32,0.2,10.0,2.0,0.03,300,8,36168
RandomForest,Anonymous,0.842,0.8179,0.842,0.8287,0.6587,1.1173,0.1134,0.116,374,1.03,0.2,20.0,2.0,0.03,,,
RandomForest,CTGAN_HYBRID,0.8733,0.793,0.8733,0.8258,0.6067,1.8013,-0.0006,-0.001,374,1.03,0.2,20.0,2.0,0.03,300,8,36168
RandomForest,GaussianCopula_HYBRID,0.8774,0.795,0.8774,0.8271,0.5865,0.5191,0.0017,0.0037,374,1.03,0.2,20.0,2.0,0.03,300,8,36168
RandomForest,TVAE_HYBRID,0.8651,0.8002,0.8651,0.826,0.6078,2.191,0.0188,0.0249,374,1.03,0.2,20.0,2.0,0.03,300,8,36168
RandomForest,Anonymous,0.8646,0.8301,0.8646,0.8428,0.6796,0.899,0.1515,0.1642,386,1.07,0.2,5.0,2.0,0.03,,,
RandomForest,CTGAN_HYBRID,0.7243,0.8028,0.7243,0.7583,0.5767,0.6177,0.0394,0.0424,386,1.07,0.2,5.0,2.0,0.03,300,8,36168
RandomForest,GaussianCopula_HYBRID,0.876,0.7874,0.876,0.8257,0.5944,0.5054,-0.0064,-0.0136,386,1.07,0.2,5.0,2.0,0.03,300,8,36168
RandomForest,TVAE_HYBRID,0.8291,0.819,0.8291,0.8239,0.6593,1.0603,0.1231,0.1235,386,1.07,0.2,5.0,2.0,0.03,300,8,36168
