Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.8252,0.8195,0.8252,0.8223,0.5549,6.1381,0.1263,0.1264,115,0.32,0.2,10.0,2.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.837,0.7973,0.837,0.8153,0.5063,5.8624,0.0168,0.0178,115,0.32,0.2,10.0,2.0,0.5,300,8,36168
DecisionTree,GaussianCopula_HYBRID,0.8004,0.798,0.8004,0.7992,0.511,7.1944,0.0223,0.0223,115,0.32,0.2,10.0,2.0,0.5,300,8,36168
DecisionTree,TVAE_HYBRID,0.7655,0.8124,0.7655,0.7866,0.5521,8.3998,0.0862,0.0892,115,0.32,0.2,10.0,2.0,0.5,300,8,36168
DecisionTree,Anonymous,0.8219,0.8221,0.8219,0.822,0.5639,6.2507,0.1388,0.1388,374,1.03,0.2,20.0,2.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.8299,0.7991,0.8299,0.8134,0.5094,6.1249,0.0259,0.0267,374,1.03,0.2,20.0,2.0,0.5,300,8,36168
DecisionTree,GaussianCopula_HYBRID,0.8068,0.8024,0.8068,0.8046,0.5212,6.9632,0.0434,0.0434,374,1.03,0.2,20.0,2.0,0.5,300,8,36168
DecisionTree,TVAE_HYBRID,0.7705,0.8046,0.7705,0.7864,0.5278,8.1914,0.0522,0.0532,374,1.03,0.2,20.0,2.0,0.5,300,8,36168
DecisionTree,Anonymous,0.8198,0.8215,0.8198,0.8206,0.5638,6.431,0.1361,0.1361,386,1.07,0.2,5.0,2.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.7545,0.8073,0.7545,0.7782,0.5402,8.8343,0.0624,0.065,386,1.07,0.2,5.0,2.0,0.5,300,8,36168
DecisionTree,GaussianCopula_HYBRID,0.809,0.8016,0.809,0.8053,0.5192,6.8835,0.0399,0.0399,386,1.07,0.2,5.0,2.0,0.5,300,8,36168
DecisionTree,TVAE_HYBRID,0.8737,0.8239,0.8737,0.8377,0.5292,4.5479,0.086,0.1128,386,1.07,0.2,5.0,2.0,0.5,300,8,36168
