Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6905,0.3383,0.0027,0.0207,115,0.32,0.2,10.0,2.0,0.25,,,
LogisticRegression,CTGAN_HYBRID,0.8825,0.8118,0.8825,0.8285,0.6297,0.3577,0.0032,0.0169,115,0.32,0.2,10.0,2.0,0.25,300,8,36168
LogisticRegression,GaussianCopula_HYBRID,0.8829,0.7797,0.8829,0.8281,0.6288,0.3549,-0.0002,-0.0038,115,0.32,0.2,10.0,2.0,0.25,300,8,36168
LogisticRegression,TVAE_HYBRID,0.8752,0.809,0.8752,0.8303,0.5944,0.3874,0.0279,0.046,115,0.32,0.2,10.0,2.0,0.25,300,8,36168
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6895,0.3388,0.0027,0.0207,374,1.03,0.2,20.0,2.0,0.25,,,
LogisticRegression,CTGAN_HYBRID,0.8817,0.8065,0.8817,0.8285,0.6715,0.3561,0.0045,0.0169,374,1.03,0.2,20.0,2.0,0.25,300,8,36168
LogisticRegression,GaussianCopula_HYBRID,0.8828,0.7797,0.8828,0.828,0.6297,0.3559,-0.0004,-0.0054,374,1.03,0.2,20.0,2.0,0.25,300,8,36168
LogisticRegression,TVAE_HYBRID,0.8032,0.8065,0.8032,0.8048,0.6496,0.706,0.0635,0.0635,374,1.03,0.2,20.0,2.0,0.25,300,8,36168
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6901,0.3386,0.0027,0.0207,386,1.07,0.2,5.0,2.0,0.25,,,
LogisticRegression,CTGAN_HYBRID,0.8827,0.8189,0.8827,0.8286,0.6565,0.3548,0.0037,0.0212,386,1.07,0.2,5.0,2.0,0.25,300,8,36168
LogisticRegression,GaussianCopula_HYBRID,0.8828,0.7797,0.8828,0.828,0.6302,0.3559,-0.0004,-0.0054,386,1.07,0.2,5.0,2.0,0.25,300,8,36168
LogisticRegression,TVAE_HYBRID,0.8055,0.8025,0.8055,0.804,0.5597,0.7366,0.0441,0.0441,386,1.07,0.2,5.0,2.0,0.25,300,8,36168
