Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.8446,0.8206,0.8446,0.8313,0.6601,1.1419,0.1258,0.1288,115,0.32,0.2,10.0,2.0,0.25,,,
RandomForest,CTGAN_HYBRID,0.8154,0.7917,0.8154,0.8031,0.5936,0.7229,-0.0077,-0.0078,115,0.32,0.2,10.0,2.0,0.25,300,8,36168
RandomForest,GaussianCopula_HYBRID,0.8775,0.7909,0.8775,0.8266,0.6088,0.63,-0.0023,-0.0052,115,0.32,0.2,10.0,2.0,0.25,300,8,36168
RandomForest,TVAE_HYBRID,0.8279,0.819,0.8279,0.8233,0.6384,1.3803,0.1234,0.1237,115,0.32,0.2,10.0,2.0,0.25,300,8,36168
RandomForest,Anonymous,0.8425,0.8163,0.8425,0.828,0.6607,1.0909,0.105,0.1079,374,1.03,0.2,20.0,2.0,0.25,,,
RandomForest,CTGAN_HYBRID,0.8527,0.7969,0.8527,0.821,0.6178,1.3735,0.0127,0.0146,374,1.03,0.2,20.0,2.0,0.25,300,8,36168
RandomForest,GaussianCopula_HYBRID,0.8769,0.7954,0.8769,0.8271,0.5946,0.5214,0.0022,0.0046,374,1.03,0.2,20.0,2.0,0.25,300,8,36168
RandomForest,TVAE_HYBRID,0.8111,0.8125,0.8111,0.8118,0.6416,1.2963,0.0926,0.0926,374,1.03,0.2,20.0,2.0,0.25,300,8,36168
RandomForest,Anonymous,0.8666,0.8336,0.8666,0.8454,0.6824,0.8673,0.1666,0.1801,386,1.07,0.2,5.0,2.0,0.25,,,
RandomForest,CTGAN_HYBRID,0.8663,0.7949,0.8663,0.8244,0.5962,1.055,0.0037,0.0052,386,1.07,0.2,5.0,2.0,0.25,300,8,36168
RandomForest,GaussianCopula_HYBRID,0.8774,0.7907,0.8774,0.8265,0.5896,0.5189,-0.0025,-0.0057,386,1.07,0.2,5.0,2.0,0.25,300,8,36168
RandomForest,TVAE_HYBRID,0.7426,0.8003,0.7426,0.7686,0.5781,1.6511,0.0306,0.032,386,1.07,0.2,5.0,2.0,0.25,300,8,36168
