Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,CTGAN,0.8683,0.8223,0.8683,0.8376,0.6166,2.0288,0.0993,0.1179,,,0.2,,,,50.0,10.0,361680
KNN,TVAE,0.7245,0.8595,0.7245,0.77,0.7308,5.8306,0.2247,0.2682,,,0.2,,,,50.0,10.0,361680
KNN,CTGAN,0.8468,0.818,0.8468,0.8306,0.6125,1.5252,0.1112,0.1151,,,0.2,,,,50.0,1.0,36168
KNN,TVAE,0.7669,0.8643,0.7669,0.8013,0.7705,2.9108,0.2703,0.3046,,,0.2,,,,50.0,1.0,36168
KNN,CTGAN,0.869,0.8278,0.869,0.8413,0.6201,2.0182,0.1261,0.145,,,0.2,,,,50.0,2.0,72336
KNN,TVAE,0.7174,0.8532,0.7174,0.7639,0.717,5.6122,0.2035,0.2428,,,0.2,,,,50.0,2.0,72336
KNN,CTGAN,0.8681,0.8247,0.8681,0.8392,0.6121,2.095,0.1122,0.1304,,,0.2,,,,50.0,3.0,108504
KNN,TVAE,0.7171,0.8503,0.7171,0.7634,0.7107,5.9071,0.1956,0.2321,,,0.2,,,,50.0,3.0,108504
KNN,CTGAN,0.8685,0.8238,0.8685,0.8386,0.6211,2.0267,0.106,0.1248,,,0.2,,,,50.0,5.0,180840
KNN,TVAE,0.7175,0.8566,0.7175,0.7644,0.7224,5.8827,0.2123,0.2548,,,0.2,,,,50.0,5.0,180840
