Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,CTGAN,0.8962,0.8773,0.8962,0.8756,0.852,0.2708,0.3183,0.3596,,,0.2,,,,750.0,10.0,361680
LogisticRegression,TVAE,0.8889,0.8777,0.8889,0.882,0.8725,0.3141,0.3982,0.4031,,,0.2,,,,750.0,10.0,361680
LogisticRegression,CTGAN,0.8958,0.877,0.8958,0.8722,0.8658,0.27,0.2921,0.3438,,,0.2,,,,750.0,1.0,36168
LogisticRegression,TVAE,0.8924,0.8793,0.8924,0.8836,0.8719,0.3071,0.3986,0.407,,,0.2,,,,750.0,1.0,36168
LogisticRegression,CTGAN,0.8966,0.8817,0.8966,0.8853,0.8746,0.295,0.397,0.412,,,0.2,,,,750.0,2.0,72336
LogisticRegression,TVAE,0.8906,0.8783,0.8906,0.8827,0.8715,0.3106,0.3973,0.404,,,0.2,,,,750.0,2.0,72336
LogisticRegression,CTGAN,0.8968,0.8785,0.8968,0.8773,0.8512,0.2717,0.3301,0.3688,,,0.2,,,,750.0,3.0,108504
LogisticRegression,TVAE,0.8921,0.8798,0.8921,0.8842,0.8722,0.3086,0.4044,0.4113,,,0.2,,,,750.0,3.0,108504
LogisticRegression,CTGAN,0.8957,0.8766,0.8957,0.8752,0.8503,0.2723,0.3161,0.3568,,,0.2,,,,750.0,5.0,180840
LogisticRegression,TVAE,0.8888,0.8776,0.8888,0.8819,0.8718,0.316,0.3979,0.4027,,,0.2,,,,750.0,5.0,180840
