Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,CTGAN,0.8839,0.8503,0.8839,0.8512,0.7324,0.438,0.1627,0.2117,,,0.2,,,,50.0,10.0,361680
RandomForest,TVAE,0.8704,0.8688,0.8704,0.8696,0.8471,0.3951,0.3649,0.365,,,0.2,,,,50.0,10.0,361680
RandomForest,CTGAN,0.8761,0.8481,0.8761,0.8566,0.7229,0.3858,0.2269,0.2451,,,0.2,,,,50.0,1.0,36168
RandomForest,TVAE,0.8594,0.8613,0.8594,0.8604,0.8512,0.3589,0.3288,0.3289,,,0.2,,,,50.0,1.0,36168
RandomForest,CTGAN,0.88,0.8426,0.88,0.8487,0.7476,0.4072,0.1529,0.191,,,0.2,,,,50.0,2.0,72336
RandomForest,TVAE,0.8757,0.8688,0.8757,0.872,0.8393,0.4373,0.3629,0.364,,,0.2,,,,50.0,2.0,72336
RandomForest,CTGAN,0.8806,0.842,0.8806,0.8471,0.737,0.44,0.1399,0.1815,,,0.2,,,,50.0,3.0,108504
RandomForest,TVAE,0.8722,0.8689,0.8722,0.8705,0.8377,0.4582,0.3652,0.3654,,,0.2,,,,50.0,3.0,108504
RandomForest,CTGAN,0.8803,0.8407,0.8803,0.846,0.7261,0.4495,0.1319,0.1739,,,0.2,,,,50.0,5.0,180840
RandomForest,TVAE,0.8719,0.8693,0.8719,0.8706,0.8396,0.4226,0.3673,0.3674,,,0.2,,,,50.0,5.0,180840
