Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,CTGAN,0.7931,0.8338,0.7931,0.8109,0.6131,7.4574,0.1842,0.1899,,,0.2,,,,500.0,10.0,361680
DecisionTree,TVAE,0.8468,0.8624,0.8468,0.8538,0.6816,5.5203,0.3289,0.3314,,,0.2,,,,500.0,10.0,361680
DecisionTree,CTGAN,0.8053,0.8368,0.8053,0.8193,0.6191,7.019,0.2018,0.206,,,0.2,,,,500.0,1.0,36168
DecisionTree,TVAE,0.8552,0.8664,0.8552,0.8604,0.6889,5.2174,0.3503,0.3519,,,0.2,,,,500.0,1.0,36168
DecisionTree,CTGAN,0.8024,0.8374,0.8024,0.8178,0.6216,7.1226,0.2028,0.2077,,,0.2,,,,500.0,2.0,72336
DecisionTree,TVAE,0.8171,0.8562,0.8171,0.8333,0.6763,6.5925,0.2848,0.2942,,,0.2,,,,500.0,2.0,72336
DecisionTree,CTGAN,0.8645,0.8352,0.8645,0.8463,0.5724,4.8826,0.1808,0.1912,,,0.2,,,,500.0,3.0,108504
DecisionTree,TVAE,0.8515,0.8668,0.8515,0.8583,0.6933,5.3529,0.3497,0.3525,,,0.2,,,,500.0,3.0,108504
DecisionTree,CTGAN,0.7992,0.8351,0.7992,0.815,0.6157,7.2382,0.1923,0.1972,,,0.2,,,,500.0,5.0,180840
DecisionTree,TVAE,0.8541,0.8646,0.8541,0.859,0.6833,5.2573,0.3418,0.3432,,,0.2,,,,500.0,5.0,180840
