Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,CTGAN,0.8753,0.8336,0.8753,0.8441,0.6255,1.9426,0.1303,0.1593,,,0.2,,,,200.0,10.0,361680
KNN,TVAE,0.8286,0.8597,0.8286,0.8417,0.7747,2.173,0.3064,0.3136,,,0.2,,,,200.0,10.0,361680
KNN,CTGAN,0.878,0.8346,0.878,0.8429,0.6375,1.8152,0.1145,0.1512,,,0.2,,,,200.0,1.0,36168
KNN,TVAE,0.8464,0.8645,0.8464,0.8544,0.7743,1.7183,0.3373,0.3407,,,0.2,,,,200.0,1.0,36168
KNN,CTGAN,0.8763,0.8352,0.8763,0.8449,0.6421,1.793,0.1337,0.1645,,,0.2,,,,200.0,2.0,72336
KNN,TVAE,0.8549,0.8637,0.8549,0.859,0.7816,1.7603,0.3385,0.3395,,,0.2,,,,200.0,2.0,72336
KNN,CTGAN,0.8765,0.8333,0.8765,0.8431,0.6382,1.8181,0.1195,0.1519,,,0.2,,,,200.0,3.0,108504
KNN,TVAE,0.7848,0.8666,0.7848,0.8143,0.7765,2.0275,0.2922,0.3217,,,0.2,,,,200.0,3.0,108504
KNN,CTGAN,0.8801,0.8428,0.8801,0.8487,0.6463,1.7488,0.1532,0.1915,,,0.2,,,,200.0,5.0,180840
KNN,TVAE,0.7866,0.8664,0.7866,0.8155,0.7755,2.1441,0.2933,0.3219,,,0.2,,,,200.0,5.0,180840
