Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,CTGAN,0.8798,0.8183,0.8798,0.8315,0.5643,2.6891,0.0282,0.0583,,,0.2,,,,100.0,10.0,361680
KNN,TVAE,0.781,0.8568,0.781,0.8097,0.7702,2.5184,0.2596,0.2824,,,0.2,,,,100.0,10.0,361680
KNN,CTGAN,0.8797,0.8151,0.8797,0.8307,0.5632,2.7032,0.0226,0.0487,,,0.2,,,,100.0,1.0,36168
KNN,TVAE,0.7185,0.8604,0.7185,0.7656,0.7406,4.5206,0.2226,0.2688,,,0.2,,,,100.0,1.0,36168
KNN,CTGAN,0.8799,0.8194,0.8799,0.8318,0.5762,2.5932,0.0297,0.0611,,,0.2,,,,100.0,2.0,72336
KNN,TVAE,0.7238,0.8604,0.7238,0.7695,0.7415,5.4434,0.2264,0.271,,,0.2,,,,100.0,2.0,72336
KNN,CTGAN,0.8787,0.8175,0.8787,0.832,0.5859,2.5319,0.0338,0.0628,,,0.2,,,,100.0,3.0,108504
KNN,TVAE,0.7022,0.8611,0.7022,0.7534,0.7388,5.526,0.2128,0.2642,,,0.2,,,,100.0,3.0,108504
KNN,CTGAN,0.8778,0.8118,0.8778,0.8306,0.563,2.7266,0.0254,0.0477,,,0.2,,,,100.0,5.0,180840
KNN,TVAE,0.7112,0.8627,0.7112,0.7603,0.7412,5.3757,0.2228,0.2734,,,0.2,,,,100.0,5.0,180840
