Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,CTGAN,0.8953,0.8759,0.8953,0.8752,0.8522,0.3201,0.3178,0.3562,,,0.2,,,,750.0,10.0,361680
RandomForest,TVAE,0.8909,0.8726,0.8909,0.877,0.8669,0.4094,0.3467,0.3645,,,0.2,,,,750.0,10.0,361680
RandomForest,CTGAN,0.8945,0.876,0.8945,0.8663,0.8517,0.2801,0.2503,0.3163,,,0.2,,,,750.0,1.0,36168
RandomForest,TVAE,0.8922,0.8715,0.8922,0.8737,0.8639,0.3755,0.315,0.3451,,,0.2,,,,750.0,1.0,36168
RandomForest,CTGAN,0.8934,0.8774,0.8934,0.8815,0.8691,0.2939,0.3761,0.391,,,0.2,,,,750.0,2.0,72336
RandomForest,TVAE,0.8913,0.8713,0.8913,0.8748,0.8676,0.3402,0.3268,0.351,,,0.2,,,,750.0,2.0,72336
RandomForest,CTGAN,0.8955,0.8762,0.8955,0.875,0.8515,0.2998,0.3155,0.3556,,,0.2,,,,750.0,3.0,108504
RandomForest,TVAE,0.8917,0.872,0.8917,0.8753,0.8682,0.3615,0.3302,0.3544,,,0.2,,,,750.0,3.0,108504
RandomForest,CTGAN,0.8955,0.8764,0.8955,0.8763,0.8442,0.3245,0.3259,0.3619,,,0.2,,,,750.0,5.0,180840
RandomForest,TVAE,0.8909,0.8713,0.8909,0.8753,0.8674,0.3988,0.3324,0.3541,,,0.2,,,,750.0,5.0,180840
