Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,CTGAN,0.831,0.8468,0.831,0.8383,0.6399,6.0903,0.2549,0.2566,,,0.2,,,,1000.0,10.0,361680
DecisionTree,TVAE,0.8737,0.869,0.8737,0.8712,0.6755,4.5518,0.3648,0.3653,,,0.2,,,,1000.0,10.0,361680
DecisionTree,CTGAN,0.8337,0.8502,0.8337,0.8413,0.6496,5.9947,0.271,0.273,,,0.2,,,,1000.0,1.0,36168
DecisionTree,TVAE,0.8723,0.8677,0.8723,0.8699,0.6731,4.6036,0.359,0.3594,,,0.2,,,,1000.0,1.0,36168
DecisionTree,CTGAN,0.8272,0.8434,0.8272,0.8347,0.6311,6.2298,0.2387,0.2404,,,0.2,,,,1000.0,2.0,72336
DecisionTree,TVAE,0.8623,0.8628,0.8623,0.8626,0.6687,4.9623,0.3361,0.3361,,,0.2,,,,1000.0,2.0,72336
DecisionTree,CTGAN,0.8244,0.8487,0.8244,0.8352,0.6493,6.3295,0.2599,0.2637,,,0.2,,,,1000.0,3.0,108504
DecisionTree,TVAE,0.877,0.8707,0.877,0.8736,0.6766,4.4322,0.3724,0.3734,,,0.2,,,,1000.0,3.0,108504
DecisionTree,CTGAN,0.832,0.8467,0.832,0.8388,0.6392,6.0544,0.2551,0.2567,,,0.2,,,,1000.0,5.0,180840
DecisionTree,TVAE,0.8754,0.8709,0.8754,0.873,0.6806,4.492,0.3745,0.3749,,,0.2,,,,1000.0,5.0,180840
