Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,CTGAN,0.8902,0.8686,0.8902,0.8717,0.8217,0.2948,0.3054,0.3333,,,0.2,,,,500.0,10.0,361680
RandomForest,TVAE,0.8922,0.8796,0.8922,0.8839,0.8724,0.3812,0.4019,0.4094,,,0.2,,,,500.0,10.0,361680
RandomForest,CTGAN,0.8942,0.8742,0.8942,0.8748,0.8256,0.2906,0.3181,0.3528,,,0.2,,,,500.0,1.0,36168
RandomForest,TVAE,0.8932,0.8795,0.8932,0.8838,0.8619,0.3708,0.397,0.4067,,,0.2,,,,500.0,1.0,36168
RandomForest,CTGAN,0.8919,0.8698,0.8919,0.8702,0.8288,0.289,0.288,0.3263,,,0.2,,,,500.0,2.0,72336
RandomForest,TVAE,0.882,0.8727,0.882,0.8767,0.8547,0.3491,0.3788,0.3813,,,0.2,,,,500.0,2.0,72336
RandomForest,CTGAN,0.8936,0.8778,0.8936,0.8607,0.7898,0.4759,0.2107,0.2934,,,0.2,,,,500.0,3.0,108504
RandomForest,TVAE,0.8923,0.8784,0.8923,0.8829,0.8661,0.3997,0.3925,0.402,,,0.2,,,,500.0,3.0,108504
RandomForest,CTGAN,0.8938,0.8735,0.8938,0.8736,0.8269,0.2938,0.3096,0.3464,,,0.2,,,,500.0,5.0,180840
RandomForest,TVAE,0.8905,0.8763,0.8905,0.881,0.8686,0.3803,0.3826,0.3918,,,0.2,,,,500.0,5.0,180840
