Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.8249,0.8194,0.8249,0.8221,0.5552,6.1423,0.1259,0.126,115,0.32,0.2,10.0,2.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.8338,0.801,0.8338,0.8161,0.5154,5.9618,0.0345,0.0357,115,0.32,0.2,10.0,2.0,0.01,300,8,36168
DecisionTree,GaussianCopula_HYBRID,0.8032,0.801,0.8032,0.8021,0.5183,7.0947,0.0371,0.0371,115,0.32,0.2,10.0,2.0,0.01,300,8,36168
DecisionTree,TVAE_HYBRID,0.7583,0.8153,0.7583,0.7832,0.5594,8.6296,0.0967,0.1013,115,0.32,0.2,10.0,2.0,0.01,300,8,36168
DecisionTree,Anonymous,0.8237,0.8192,0.8237,0.8214,0.5547,6.1863,0.1246,0.1247,115,0.32,0.2,10.0,2.0,0.03,,,
DecisionTree,CTGAN_HYBRID,0.6982,0.8023,0.6982,0.7415,0.5238,10.7651,0.0346,0.0385,115,0.32,0.2,10.0,2.0,0.03,300,8,36168
DecisionTree,GaussianCopula_HYBRID,0.8056,0.801,0.8056,0.8033,0.5181,7.007,0.037,0.037,115,0.32,0.2,10.0,2.0,0.03,300,8,36168
DecisionTree,TVAE_HYBRID,0.7971,0.8106,0.7971,0.8036,0.543,7.2627,0.0829,0.0832,115,0.32,0.2,10.0,2.0,0.03,300,8,36168
DecisionTree,Anonymous,0.8236,0.8188,0.8236,0.8212,0.5538,6.1902,0.123,0.1231,115,0.32,0.2,10.0,2.0,0.05,,,
DecisionTree,CTGAN_HYBRID,0.8378,0.8042,0.8378,0.8194,0.5198,5.8339,0.0482,0.0502,115,0.32,0.2,10.0,2.0,0.05,300,8,36168
DecisionTree,GaussianCopula_HYBRID,0.8032,0.8051,0.8032,0.8041,0.5286,7.0947,0.0566,0.0566,115,0.32,0.2,10.0,2.0,0.05,300,8,36168
DecisionTree,TVAE_HYBRID,0.7691,0.8166,0.7691,0.7903,0.5646,8.2869,0.1049,0.1086,115,0.32,0.2,10.0,2.0,0.05,300,8,36168
DecisionTree,Anonymous,0.8235,0.8185,0.8235,0.821,0.5515,6.2059,0.1213,0.1214,115,0.32,0.2,10.0,2.0,0.08,,,
DecisionTree,CTGAN_HYBRID,0.625,0.7973,0.625,0.6896,0.5057,13.391,0.0123,0.0154,115,0.32,0.2,10.0,2.0,0.08,300,8,36168
DecisionTree,GaussianCopula_HYBRID,0.8012,0.8028,0.8012,0.802,0.5229,7.1665,0.0455,0.0455,115,0.32,0.2,10.0,2.0,0.08,300,8,36168
DecisionTree,TVAE_HYBRID,0.7713,0.8175,0.7713,0.7919,0.5677,8.2164,0.1094,0.1131,115,0.32,0.2,10.0,2.0,0.08,300,8,36168
DecisionTree,Anonymous,0.8259,0.8202,0.8259,0.823,0.5565,6.1104,0.1298,0.1299,115,0.32,0.2,10.0,2.0,0.1,,,
DecisionTree,Anonymous,0.8254,0.8196,0.8254,0.8224,0.5549,6.1302,0.1266,0.1267,115,0.32,0.2,10.0,2.0,0.25,,,
DecisionTree,CTGAN_HYBRID,0.7638,0.8047,0.7638,0.7826,0.5327,8.4613,0.0519,0.0533,115,0.32,0.2,10.0,2.0,0.25,300,8,36168
DecisionTree,GaussianCopula_HYBRID,0.8046,0.7984,0.8046,0.8015,0.5118,7.0429,0.0243,0.0243,115,0.32,0.2,10.0,2.0,0.25,300,8,36168
DecisionTree,TVAE_HYBRID,0.8132,0.8169,0.8132,0.8151,0.5567,6.6615,0.1138,0.1139,115,0.32,0.2,10.0,2.0,0.25,300,8,36168
DecisionTree,Anonymous,0.8252,0.8195,0.8252,0.8223,0.5549,6.1381,0.1263,0.1264,115,0.32,0.2,10.0,2.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.837,0.7973,0.837,0.8153,0.5063,5.8624,0.0168,0.0178,115,0.32,0.2,10.0,2.0,0.5,300,8,36168
DecisionTree,GaussianCopula_HYBRID,0.8004,0.798,0.8004,0.7992,0.511,7.1944,0.0223,0.0223,115,0.32,0.2,10.0,2.0,0.5,300,8,36168
DecisionTree,TVAE_HYBRID,0.7655,0.8124,0.7655,0.7866,0.5521,8.3998,0.0862,0.0892,115,0.32,0.2,10.0,2.0,0.5,300,8,36168
DecisionTree,CTGAN_HYBRID,0.7984,0.8119,0.7984,0.8049,0.5337,6.9378,0.0889,0.0893,,,0.2,10,2,0.1,1000.0,10.0,361680
DecisionTree,TVAE_HYBRID,0.7995,0.8069,0.7995,0.8031,0.5206,6.8027,0.0653,0.0654,,,0.2,10,2,0.1,1000.0,10.0,361680
DecisionTree,CTGAN_HYBRID,0.771,0.81,0.771,0.7889,0.5429,8.2212,0.0767,0.0786,,,0.2,10,2,0.1,1000.0,1.0,36168
DecisionTree,TVAE_HYBRID,0.7826,0.8025,0.7826,0.7921,0.5231,7.7785,0.0435,0.0438,,,0.2,10,2,0.1,1000.0,1.0,36168
DecisionTree,CTGAN_HYBRID,0.7985,0.8135,0.7985,0.8057,0.5488,7.1685,0.0967,0.0971,,,0.2,10,2,0.1,1000.0,2.0,72336
DecisionTree,TVAE_HYBRID,0.7911,0.8046,0.7911,0.7976,0.5221,7.4178,0.0538,0.054,,,0.2,10,2,0.1,1000.0,2.0,72336
DecisionTree,CTGAN_HYBRID,0.7566,0.8177,0.7566,0.783,0.5689,8.478,0.106,0.1117,,,0.2,10,2,0.1,1000.0,3.0,108504
DecisionTree,TVAE_HYBRID,0.7434,0.8039,0.7434,0.7704,0.5269,8.9311,0.0461,0.0484,,,0.2,10,2,0.1,1000.0,3.0,108504
DecisionTree,CTGAN_HYBRID,0.8206,0.8098,0.8206,0.8151,0.5271,6.3539,0.079,0.0793,,,0.2,10,2,0.1,1000.0,5.0,180840
DecisionTree,TVAE_HYBRID,0.796,0.8033,0.796,0.7996,0.52,7.0074,0.0481,0.0481,,,0.2,10,2,0.1,1000.0,5.0,180840
DecisionTree,Anonymous,0.8251,0.8195,0.8251,0.8222,0.5546,6.1424,0.1261,0.1262,115,0.32,0.2,10.0,2.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.763,0.8026,0.763,0.7813,0.525,8.4738,0.0426,0.0437,115,0.32,0.2,10.0,2.0,0.1,300,8,36168
