Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.8777,0.8379,0.8777,0.8462,0.6085,2.1534,0.1401,0.1737,55,0.15,0.2,5.0,2.0,0.01,,,
KNN,CTGAN_HYBRID,0.8211,0.7991,0.8211,0.8096,0.548,1.4309,0.0271,0.0275,55,0.15,0.2,5.0,2.0,0.01,300,8,36168
KNN,GaussianCopula_HYBRID,0.8791,0.8013,0.8791,0.8282,0.5281,2.6232,0.0065,0.0158,55,0.15,0.2,5.0,2.0,0.01,300,8,36168
KNN,TVAE_HYBRID,0.7297,0.8255,0.7297,0.7679,0.6201,5.4433,0.1262,0.14,55,0.15,0.2,5.0,2.0,0.01,300,8,36168
KNN,Anonymous,0.8769,0.8364,0.8769,0.8454,0.6111,2.1022,0.1363,0.1684,386,1.07,0.2,5.0,2.0,0.03,,,
KNN,CTGAN_HYBRID,0.7635,0.8073,0.7635,0.7835,0.5481,1.2778,0.0636,0.0655,386,1.07,0.2,5.0,2.0,0.03,300,8,36168
KNN,GaussianCopula_HYBRID,0.8731,0.7919,0.8731,0.8255,0.5161,2.5993,-0.0023,-0.0041,386,1.07,0.2,5.0,2.0,0.03,300,8,36168
KNN,TVAE_HYBRID,0.8619,0.825,0.8619,0.839,0.583,2.1035,0.1291,0.1405,386,1.07,0.2,5.0,2.0,0.03,300,8,36168
KNN,Anonymous,0.8769,0.8364,0.8769,0.8454,0.6111,2.1022,0.1363,0.1684,386,1.07,0.2,5.0,2.0,0.05,,,
KNN,CTGAN_HYBRID,0.7962,0.7981,0.7962,0.7971,0.5061,1.3748,0.0228,0.0228,386,1.07,0.2,5.0,2.0,0.05,300,8,36168
KNN,GaussianCopula_HYBRID,0.8731,0.7919,0.8731,0.8255,0.5161,2.5993,-0.0023,-0.0041,386,1.07,0.2,5.0,2.0,0.05,300,8,36168
KNN,TVAE_HYBRID,0.6834,0.8216,0.6834,0.7351,0.5998,6.6871,0.0972,0.1152,386,1.07,0.2,5.0,2.0,0.05,300,8,36168
KNN,Anonymous,0.8769,0.8364,0.8769,0.8454,0.6111,2.1022,0.1363,0.1684,386,1.07,0.2,5.0,2.0,0.08,,,
KNN,CTGAN_HYBRID,0.8248,0.8173,0.8248,0.821,0.5838,1.7723,0.1152,0.1154,386,1.07,0.2,5.0,2.0,0.08,300,8,36168
KNN,GaussianCopula_HYBRID,0.8731,0.7919,0.8731,0.8255,0.5161,2.5993,-0.0023,-0.0041,386,1.07,0.2,5.0,2.0,0.08,300,8,36168
KNN,TVAE_HYBRID,0.8725,0.8285,0.8725,0.8412,0.5785,2.6083,0.1157,0.1403,386,1.07,0.2,5.0,2.0,0.08,300,8,36168
KNN,Anonymous,0.8769,0.8364,0.8769,0.8454,0.6111,2.1022,0.1363,0.1684,386,1.07,0.2,5.0,2.0,0.1,,,
KNN,CTGAN_HYBRID,0.8815,0.7869,0.8815,0.8276,0.5211,3.3357,-0.0016,-0.0071,386,1.07,0.2,5.0,2.0,0.1,300,8,36168
KNN,GaussianCopula_HYBRID,0.8731,0.7919,0.8731,0.8255,0.5161,2.5993,-0.0023,-0.0041,386,1.07,0.2,5.0,2.0,0.1,300,8,36168
KNN,TVAE_HYBRID,0.8433,0.8131,0.8433,0.8265,0.5758,1.9188,0.0888,0.0921,386,1.07,0.2,5.0,2.0,0.1,300,8,36168
KNN,Anonymous,0.8769,0.8364,0.8769,0.8454,0.6111,2.1022,0.1363,0.1684,386,1.07,0.2,5.0,2.0,0.25,,,
KNN,CTGAN_HYBRID,0.874,0.801,0.874,0.8279,0.5067,2.7259,0.0128,0.0217,386,1.07,0.2,5.0,2.0,0.25,300,8,36168
KNN,GaussianCopula_HYBRID,0.8731,0.7919,0.8731,0.8255,0.5161,2.5993,-0.0023,-0.0041,386,1.07,0.2,5.0,2.0,0.25,300,8,36168
KNN,TVAE_HYBRID,0.7359,0.8086,0.7359,0.7673,0.5627,7.7109,0.0647,0.0691,386,1.07,0.2,5.0,2.0,0.25,300,8,36168
KNN,Anonymous,0.8769,0.8364,0.8769,0.8454,0.6111,2.1022,0.1363,0.1684,386,1.07,0.2,5.0,2.0,0.5,,,
KNN,CTGAN_HYBRID,0.8486,0.8127,0.8486,0.8281,0.5646,2.0051,0.0836,0.0885,386,1.07,0.2,5.0,2.0,0.5,300,8,36168
KNN,GaussianCopula_HYBRID,0.8731,0.7919,0.8731,0.8255,0.5161,2.5993,-0.0023,-0.0041,386,1.07,0.2,5.0,2.0,0.5,300,8,36168
KNN,TVAE_HYBRID,0.8827,0.7797,0.8827,0.828,0.5268,3.772,-0.0007,-0.0066,386,1.07,0.2,5.0,2.0,0.5,300,8,36168
