Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6905,0.3383,0.0027,0.0207,115,0.32,0.2,10.0,2.0,0.01,,,
LogisticRegression,CTGAN_HYBRID,0.883,0.7797,0.883,0.8281,0.6415,0.3804,0.0,0.0,115,0.32,0.2,10.0,2.0,0.01,300,8,36168
LogisticRegression,GaussianCopula_HYBRID,0.8829,0.7797,0.8829,0.8281,0.6288,0.3549,-0.0002,-0.0038,115,0.32,0.2,10.0,2.0,0.01,300,8,36168
LogisticRegression,TVAE_HYBRID,0.8658,0.807,0.8658,0.8291,0.6564,0.4833,0.0402,0.0514,115,0.32,0.2,10.0,2.0,0.01,300,8,36168
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6905,0.3383,0.0027,0.0207,115,0.32,0.2,10.0,2.0,0.03,,,
LogisticRegression,CTGAN_HYBRID,0.8753,0.8031,0.8753,0.8285,0.6399,0.3994,0.0151,0.0267,115,0.32,0.2,10.0,2.0,0.03,300,8,36168
LogisticRegression,GaussianCopula_HYBRID,0.8829,0.7797,0.8829,0.8281,0.6288,0.3549,-0.0002,-0.0038,115,0.32,0.2,10.0,2.0,0.03,300,8,36168
LogisticRegression,TVAE_HYBRID,0.8736,0.801,0.8736,0.8278,0.6466,0.3743,0.0132,0.0221,115,0.32,0.2,10.0,2.0,0.03,300,8,36168
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6905,0.3383,0.0027,0.0207,115,0.32,0.2,10.0,2.0,0.05,,,
LogisticRegression,CTGAN_HYBRID,0.8829,0.7797,0.8829,0.8281,0.6463,0.3664,-0.0002,-0.0038,115,0.32,0.2,10.0,2.0,0.05,300,8,36168
LogisticRegression,GaussianCopula_HYBRID,0.8829,0.7797,0.8829,0.8281,0.6288,0.3549,-0.0002,-0.0038,115,0.32,0.2,10.0,2.0,0.05,300,8,36168
