Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.8401,0.8206,0.8401,0.8296,0.6521,1.1788,0.1282,0.1299,138,0.38,0.2,20.0,2.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.8691,0.7994,0.8691,0.8266,0.6073,1.0063,0.0137,0.02,138,0.38,0.2,20.0,2.0,0.01,300,8,36168
RandomForest,GaussianCopula_HYBRID,0.8818,0.8045,0.8818,0.8284,0.6178,0.5702,0.0033,0.0134,138,0.38,0.2,20.0,2.0,0.01,300,8,36168
RandomForest,TVAE_HYBRID,0.7704,0.805,0.7704,0.7865,0.6273,1.1893,0.0541,0.0552,138,0.38,0.2,20.0,2.0,0.01,300,8,36168
RandomForest,Anonymous,0.842,0.8179,0.842,0.8287,0.6587,1.1173,0.1134,0.116,374,1.03,0.2,20.0,2.0,0.03,,,
RandomForest,CTGAN_HYBRID,0.8733,0.793,0.8733,0.8258,0.6067,1.8013,-0.0006,-0.001,374,1.03,0.2,20.0,2.0,0.03,300,8,36168
RandomForest,GaussianCopula_HYBRID,0.8774,0.795,0.8774,0.8271,0.5865,0.5191,0.0017,0.0037,374,1.03,0.2,20.0,2.0,0.03,300,8,36168
RandomForest,TVAE_HYBRID,0.8651,0.8002,0.8651,0.826,0.6078,2.191,0.0188,0.0249,374,1.03,0.2,20.0,2.0,0.03,300,8,36168
RandomForest,Anonymous,0.8415,0.8172,0.8415,0.8282,0.6586,1.1113,0.1101,0.1126,374,1.03,0.2,20.0,2.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.85,0.7907,0.85,0.8172,0.5783,1.1652,-0.0097,-0.0113,374,1.03,0.2,20.0,2.0,0.05,300,8,36168
RandomForest,GaussianCopula_HYBRID,0.8776,0.7911,0.8776,0.8266,0.5981,0.485,-0.0021,-0.0048,374,1.03,0.2,20.0,2.0,0.05,300,8,36168
RandomForest,TVAE_HYBRID,0.8075,0.8108,0.8075,0.8091,0.6432,1.2123,0.0843,0.0844,374,1.03,0.2,20.0,2.0,0.05,300,8,36168
RandomForest,Anonymous,0.8428,0.8169,0.8428,0.8285,0.6602,1.0972,0.108,0.1109,374,1.03,0.2,20.0,2.0,0.08,,,
RandomForest,CTGAN_HYBRID,0.716,0.8148,0.716,0.7562,0.6203,0.7683,0.0838,0.0931,374,1.03,0.2,20.0,2.0,0.08,300,8,36168
RandomForest,GaussianCopula_HYBRID,0.8775,0.7939,0.8775,0.827,0.5902,0.494,0.0005,0.0011,374,1.03,0.2,20.0,2.0,0.08,300,8,36168
RandomForest,TVAE_HYBRID,0.809,0.8145,0.809,0.8117,0.654,1.0987,0.1018,0.1019,374,1.03,0.2,20.0,2.0,0.08,300,8,36168
RandomForest,Anonymous,0.8434,0.8192,0.8434,0.8301,0.6603,1.1236,0.1194,0.1222,374,1.03,0.2,20.0,2.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.8392,0.8006,0.8392,0.818,0.6063,1.1145,0.0312,0.0329,374,1.03,0.2,20.0,2.0,0.1,300,8,36168
RandomForest,GaussianCopula_HYBRID,0.8775,0.7939,0.8775,0.827,0.5972,0.483,0.0005,0.0011,374,1.03,0.2,20.0,2.0,0.1,300,8,36168
RandomForest,TVAE_HYBRID,0.7576,0.823,0.7576,0.7853,0.6702,0.9464,0.1273,0.1351,374,1.03,0.2,20.0,2.0,0.1,300,8,36168
RandomForest,Anonymous,0.8425,0.8163,0.8425,0.828,0.6607,1.0909,0.105,0.1079,374,1.03,0.2,20.0,2.0,0.25,,,
RandomForest,CTGAN_HYBRID,0.8527,0.7969,0.8527,0.821,0.6178,1.3735,0.0127,0.0146,374,1.03,0.2,20.0,2.0,0.25,300,8,36168
RandomForest,GaussianCopula_HYBRID,0.8769,0.7954,0.8769,0.8271,0.5946,0.5214,0.0022,0.0046,374,1.03,0.2,20.0,2.0,0.25,300,8,36168
RandomForest,TVAE_HYBRID,0.8111,0.8125,0.8111,0.8118,0.6416,1.2963,0.0926,0.0926,374,1.03,0.2,20.0,2.0,0.25,300,8,36168
RandomForest,Anonymous,0.8424,0.8171,0.8424,0.8284,0.659,1.1126,0.1091,0.1119,374,1.03,0.2,20.0,2.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.8661,0.7947,0.8661,0.8243,0.6064,1.6189,0.0033,0.0047,374,1.03,0.2,20.0,2.0,0.5,300,8,36168
RandomForest,GaussianCopula_HYBRID,0.8785,0.7929,0.8785,0.8271,0.5917,0.5056,-0.0004,-0.0009,374,1.03,0.2,20.0,2.0,0.5,300,8,36168
RandomForest,TVAE_HYBRID,0.7965,0.8049,0.7965,0.8006,0.604,1.1028,0.0555,0.0556,374,1.03,0.2,20.0,2.0,0.5,300,8,36168
