Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.8779,0.8378,0.8779,0.8459,0.6074,2.1672,0.1376,0.172,115,0.32,0.2,10.0,2.0,0.01,,,
KNN,CTGAN_HYBRID,0.8819,0.7964,0.8819,0.828,0.5165,3.1758,0.0007,0.0032,115,0.32,0.2,10.0,2.0,0.01,300,8,36168
KNN,GaussianCopula_HYBRID,0.8758,0.7966,0.8758,0.8271,0.517,2.6062,0.0042,0.0081,115,0.32,0.2,10.0,2.0,0.01,300,8,36168
KNN,TVAE_HYBRID,0.8249,0.8203,0.8249,0.8226,0.5988,1.8506,0.1303,0.1304,115,0.32,0.2,10.0,2.0,0.01,300,8,36168
KNN,Anonymous,0.8779,0.8378,0.8779,0.8459,0.6074,2.1672,0.1376,0.172,115,0.32,0.2,10.0,2.0,0.03,,,
KNN,CTGAN_HYBRID,0.816,0.8044,0.816,0.81,0.532,1.4838,0.0527,0.0529,115,0.32,0.2,10.0,2.0,0.03,300,8,36168
KNN,GaussianCopula_HYBRID,0.8758,0.7966,0.8758,0.8271,0.517,2.6062,0.0042,0.0081,115,0.32,0.2,10.0,2.0,0.03,300,8,36168
KNN,TVAE_HYBRID,0.8675,0.8245,0.8675,0.8391,0.5742,2.4031,0.113,0.1305,115,0.32,0.2,10.0,2.0,0.03,300,8,36168
KNN,Anonymous,0.8779,0.8378,0.8779,0.8459,0.6074,2.1672,0.1376,0.172,115,0.32,0.2,10.0,2.0,0.05,,,
KNN,CTGAN_HYBRID,0.8819,0.8092,0.8819,0.8286,0.527,2.9526,0.005,0.0195,115,0.32,0.2,10.0,2.0,0.05,300,8,36168
KNN,GaussianCopula_HYBRID,0.8758,0.7966,0.8758,0.8271,0.517,2.6062,0.0042,0.0081,115,0.32,0.2,10.0,2.0,0.05,300,8,36168
KNN,TVAE_HYBRID,0.8608,0.8302,0.8608,0.8422,0.6097,2.0001,0.1598,0.1688,115,0.32,0.2,10.0,2.0,0.05,300,8,36168
KNN,Anonymous,0.8779,0.8378,0.8779,0.8459,0.6074,2.1672,0.1376,0.172,115,0.32,0.2,10.0,2.0,0.08,,,
KNN,CTGAN_HYBRID,0.7198,0.7918,0.7198,0.752,0.4969,1.2,-0.007,-0.0074,115,0.32,0.2,10.0,2.0,0.08,300,8,36168
KNN,GaussianCopula_HYBRID,0.8758,0.7966,0.8758,0.8271,0.517,2.6062,0.0042,0.0081,115,0.32,0.2,10.0,2.0,0.08,300,8,36168
KNN,TVAE_HYBRID,0.8607,0.8214,0.8607,0.8364,0.5783,2.2937,0.1124,0.1234,115,0.32,0.2,10.0,2.0,0.08,300,8,36168
KNN,Anonymous,0.8779,0.8378,0.8779,0.8459,0.6074,2.1672,0.1376,0.172,115,0.32,0.2,10.0,2.0,0.1,,,
KNN,Anonymous,0.8779,0.8378,0.8779,0.8459,0.6074,2.1672,0.1376,0.172,115,0.32,0.2,10.0,2.0,0.25,,,
KNN,CTGAN_HYBRID,0.8612,0.8002,0.8612,0.8251,0.5397,1.9418,0.0214,0.0267,115,0.32,0.2,10.0,2.0,0.25,300,8,36168
KNN,GaussianCopula_HYBRID,0.8758,0.7966,0.8758,0.8271,0.517,2.6062,0.0042,0.0081,115,0.32,0.2,10.0,2.0,0.25,300,8,36168
KNN,TVAE_HYBRID,0.8655,0.8185,0.8655,0.8353,0.5615,2.353,0.0883,0.1036,115,0.32,0.2,10.0,2.0,0.25,300,8,36168
KNN,Anonymous,0.8779,0.8378,0.8779,0.8459,0.6074,2.1672,0.1376,0.172,115,0.32,0.2,10.0,2.0,0.5,,,
