Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.828,0.8362,0.828,0.832,0.6082,6.198,0.2065,0.2068
DecisionTree,CTGAN_HYBRID,0.8299,0.8187,0.8299,0.8241,0.5569,6.1302,0.1214,0.1219
DecisionTree,GaussianCopula_HYBRID,0.7791,0.8024,0.7791,0.7902,0.524,7.9636,0.0429,0.0433
DecisionTree,Original,0.8329,0.8412,0.8329,0.8369,0.6213,6.0226,0.2307,0.2312
DecisionTree,TVAE_HYBRID,0.8391,0.8353,0.8391,0.8372,0.599,5.7993,0.2026,0.2027
KNN,Anonymous,0.8767,0.8362,0.8767,0.8454,0.6099,2.0627,0.1368,0.1683
KNN,CTGAN_HYBRID,0.8766,0.8239,0.8766,0.8364,0.5875,2.609,0.0692,0.1011
KNN,GaussianCopula_HYBRID,0.8748,0.7985,0.8748,0.8273,0.5106,2.4196,0.0077,0.0138
KNN,Original,0.8779,0.8378,0.8779,0.8459,0.6105,2.1223,0.1376,0.172
KNN,TVAE_HYBRID,0.8694,0.8259,0.8694,0.8399,0.5997,2.5734,0.114,0.1339
LogisticRegression,Anonymous,0.8941,0.8749,0.8941,0.8657,0.7548,0.3069,0.2471,0.3123
LogisticRegression,CTGAN_HYBRID,0.8936,0.8735,0.8936,0.866,0.7095,0.3388,0.2503,0.3116
LogisticRegression,GaussianCopula_HYBRID,0.8829,0.7797,0.8829,0.8281,0.6767,0.3468,-0.0002,-0.0038
LogisticRegression,Original,0.8944,0.8763,0.8944,0.8652,0.7584,0.3059,0.2427,0.3121
LogisticRegression,TVAE_HYBRID,0.8927,0.8722,0.8927,0.8632,0.7388,0.3677,0.2312,0.297
RandomForest,Anonymous,0.8938,0.8731,0.8938,0.8716,0.7761,0.3875,0.2932,0.3364
RandomForest,CTGAN_HYBRID,0.8927,0.8729,0.8927,0.8621,0.7007,0.5437,0.2227,0.2928
RandomForest,GaussianCopula_HYBRID,0.883,0.7797,0.883,0.8281,0.6408,0.3565,0.0,0.0
RandomForest,Original,0.8936,0.8727,0.8936,0.8703,0.7902,0.3524,0.2837,0.33
RandomForest,TVAE_HYBRID,0.8847,0.8578,0.8847,0.8623,0.7248,0.9618,0.247,0.2774
