Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.7962,0.8214,0.7962,0.8079,0.5751,7.3458,0.1321,0.1338
DecisionTree,Original,0.831,0.84,0.831,0.8353,0.6186,6.0903,0.2248,0.2253
DecisionTree,TVAE,0.8397,0.8311,0.8397,0.8352,0.5861,5.7794,0.1817,0.1821
KNN,CTGAN,0.8682,0.8148,0.8682,0.8332,0.5797,2.1765,0.0655,0.0824
KNN,Original,0.8779,0.8378,0.8779,0.8459,0.6105,2.1223,0.1376,0.172
KNN,TVAE,0.8784,0.8148,0.8784,0.8313,0.568,2.5877,0.0292,0.0549
LogisticRegression,CTGAN,0.894,0.8744,0.894,0.866,0.7264,0.3164,0.2495,0.3129
LogisticRegression,Original,0.8944,0.8763,0.8944,0.8652,0.7584,0.3059,0.2427,0.3121
LogisticRegression,TVAE,0.8923,0.8721,0.8923,0.861,0.6883,0.3507,0.2157,0.2867
RandomForest,CTGAN,0.8885,0.8621,0.8885,0.8603,0.717,0.3361,0.2201,0.2706
RandomForest,Original,0.8948,0.875,0.8948,0.8714,0.785,0.364,0.289,0.3379
RandomForest,TVAE,0.8927,0.8733,0.8927,0.8615,0.7009,0.6637,0.2189,0.2909
