epochs,Dataset,Model,AUC-ROC
50.0,CTGAN,LogisticRegression,0.717
50.0,TVAE,LogisticRegression,0.7033400000000001
100.0,CTGAN,LogisticRegression,0.7106
100.0,TVAE,LogisticRegression,0.72452
200.0,CTGAN,LogisticRegression,0.7281799999999999
200.0,TVAE,LogisticRegression,0.73672
300.0,CTGAN,LogisticRegression,0.6830666666666666
300.0,GaussianCopula,LogisticRegression,0.72692
300.0,TVAE,LogisticRegression,0.69928
500.0,CTGAN,LogisticRegression,0.71814
500.0,TVAE,LogisticRegression,0.7325600000000001
750.0,CTGAN,LogisticRegression,0.7314999999999999
750.0,TVAE,LogisticRegression,0.69542
1000.0,CTGAN,LogisticRegression,0.72044
1000.0,TVAE,LogisticRegression,0.6874
