epochs,Dataset,Model,Accuracy
50.0,CTGAN,LogisticRegression,0.87676
50.0,TVAE,LogisticRegression,0.8800000000000001
100.0,CTGAN,LogisticRegression,0.87804
100.0,TVAE,LogisticRegression,0.88666
200.0,CTGAN,LogisticRegression,0.8934999999999998
200.0,TVAE,LogisticRegression,0.88608
300.0,CTGAN,LogisticRegression,0.89315
300.0,GaussianCopula,LogisticRegression,0.8828800000000001
300.0,TVAE,LogisticRegression,0.86052
500.0,CTGAN,LogisticRegression,0.88408
500.0,TVAE,LogisticRegression,0.88764
750.0,CTGAN,LogisticRegression,0.89158
750.0,TVAE,LogisticRegression,0.8523400000000001
1000.0,CTGAN,LogisticRegression,0.8892
1000.0,TVAE,LogisticRegression,0.8922599999999999
