epochs,Dataset,Model,F1
50.0,CTGAN,RandomForest,0.84892
50.0,TVAE,RandomForest,0.86272
100.0,CTGAN,RandomForest,0.8592600000000001
100.0,TVAE,RandomForest,0.86442
200.0,CTGAN,RandomForest,0.86068
200.0,TVAE,RandomForest,0.85542
300.0,CTGAN,RandomForest,0.8640166666666667
300.0,GaussianCopula,RandomForest,0.8280999999999998
300.0,TVAE,RandomForest,0.85764
500.0,CTGAN,RandomForest,0.85954
500.0,TVAE,RandomForest,0.8544
750.0,CTGAN,RandomForest,0.86316
750.0,TVAE,RandomForest,0.85442
1000.0,CTGAN,RandomForest,0.85702
1000.0,TVAE,RandomForest,0.86036
