epochs,Dataset,Model,Precision
50.0,CTGAN,RandomForest,0.84694
50.0,TVAE,RandomForest,0.86882
100.0,CTGAN,RandomForest,0.8523799999999999
100.0,TVAE,RandomForest,0.8694200000000001
200.0,CTGAN,RandomForest,0.87088
200.0,TVAE,RandomForest,0.86058
300.0,CTGAN,RandomForest,0.8717
300.0,GaussianCopula,RandomForest,0.7797
300.0,TVAE,RandomForest,0.8499000000000001
500.0,CTGAN,RandomForest,0.8574999999999999
500.0,TVAE,RandomForest,0.84596
750.0,CTGAN,RandomForest,0.86628
750.0,TVAE,RandomForest,0.8546400000000001
1000.0,CTGAN,RandomForest,0.85846
1000.0,TVAE,RandomForest,0.87166
