Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.8904,0.8672,0.8904,0.8683,0.7737,0.4269,0.2773,0.3148,1746,4.83,0.2,100.0,2.0,0.05,,,
RandomForest,Anonymous,0.8945,0.8744,0.8945,0.8726,0.7739,0.3849,0.2992,0.3424,1292,3.57,0.2,10.0,2.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.8475,0.843,0.8475,0.8452,0.6993,0.4288,0.2398,0.24,1292,3.57,0.2,10.0,2.0,0.05,300,1,36168
RandomForest,GaussianCopula_HYBRID,0.883,0.7797,0.883,0.8281,0.6381,0.3714,0.0,0.0,1292,3.57,0.2,10.0,2.0,0.05,300,1,36168
RandomForest,TVAE_HYBRID,0.8927,0.8726,0.8927,0.8626,0.7132,1.4443,0.2265,0.2947,1292,3.57,0.2,10.0,2.0,0.05,300,1,36168
RandomForest,Anonymous,0.8931,0.8717,0.8931,0.8705,0.7751,0.3778,0.2869,0.3298,1431,3.96,0.2,12.0,2.0,0.05,,,
RandomForest,Anonymous,0.8946,0.8745,0.8946,0.8724,0.7742,0.3854,0.2972,0.3417,1468,4.06,0.2,14.0,2.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.8935,0.8739,0.8935,0.8646,0.6844,0.5098,0.24,0.3057,1468,4.06,0.2,14.0,2.0,0.05,300,1,36168
RandomForest,GaussianCopula_HYBRID,0.883,0.7797,0.883,0.8281,0.639,0.3566,0.0,0.0,1468,4.06,0.2,14.0,2.0,0.05,300,1,36168
RandomForest,TVAE_HYBRID,0.8906,0.8671,0.8906,0.8603,0.7275,1.3012,0.2147,0.2769,1468,4.06,0.2,14.0,2.0,0.05,300,1,36168
RandomForest,Anonymous,0.8935,0.8726,0.8935,0.8713,0.7692,0.3809,0.2922,0.3346,1570,4.34,0.2,16.0,2.0,0.05,,,
RandomForest,Anonymous,0.8943,0.874,0.8943,0.8725,0.7747,0.3639,0.2993,0.3417,1671,4.62,0.2,18.0,2.0,0.05,,,
RandomForest,Anonymous,0.8936,0.8728,0.8936,0.8721,0.7713,0.3828,0.2981,0.3386,1782,4.93,0.2,20.0,2.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.8816,0.8536,0.8816,0.8599,0.6792,0.3824,0.2369,0.2627,1782,4.93,0.2,20.0,2.0,0.05,300,1,36168
RandomForest,GaussianCopula_HYBRID,0.883,0.7797,0.883,0.8281,0.6643,0.3433,0.0,0.0,1782,4.93,0.2,20.0,2.0,0.05,300,1,36168
RandomForest,TVAE_HYBRID,0.8761,0.8529,0.8761,0.8608,0.6881,0.4424,0.262,0.2748,1782,4.93,0.2,20.0,2.0,0.05,300,1,36168
RandomForest,Anonymous,0.8941,0.8735,0.8941,0.8712,0.7736,0.3752,0.2899,0.3353,1447,4.0,0.2,2.0,2.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.8925,0.8713,0.8925,0.8636,0.7028,0.4643,0.2352,0.2979,1447,4.0,0.2,2.0,2.0,0.05,300,1,36168
RandomForest,GaussianCopula_HYBRID,0.883,0.7797,0.883,0.8281,0.6412,0.3571,0.0,0.0,1447,4.0,0.2,2.0,2.0,0.05,300,1,36168
RandomForest,TVAE_HYBRID,0.8869,0.8603,0.8869,0.8627,0.7269,0.6776,0.243,0.2805,1447,4.0,0.2,2.0,2.0,0.05,300,1,36168
RandomForest,Anonymous,0.8949,0.8752,0.8949,0.8725,0.7751,0.3608,0.2974,0.3431,1469,4.06,0.2,4.0,2.0,0.05,,,
RandomForest,Anonymous,0.8919,0.8696,0.8919,0.8695,0.7702,0.3921,0.2824,0.3228,1345,3.72,0.2,50.0,2.0,0.05,,,
RandomForest,Anonymous,0.8931,0.8717,0.8931,0.8703,0.7767,0.3671,0.2852,0.3288,1549,4.28,0.2,6.0,2.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.8925,0.8713,0.8925,0.8639,0.6965,0.6206,0.2371,0.2989,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
RandomForest,GaussianCopula_HYBRID,0.883,0.7797,0.883,0.8281,0.6418,0.3571,0.0,0.0,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
RandomForest,TVAE_HYBRID,0.8817,0.8521,0.8817,0.8581,0.7421,0.6977,0.2219,0.2511,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
RandomForest,Anonymous,0.8932,0.872,0.8932,0.8709,0.7742,0.3859,0.2896,0.3319,1207,3.34,0.2,8.0,2.0,0.05,,,
