Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.814,0.8354,0.814,0.8238,0.6117,6.701,0.199,0.201,1810,5.0,0.2,100.0,2.0,0.3,,,
DecisionTree,Anonymous,0.8132,0.8342,0.8132,0.8229,0.6084,6.7321,0.1936,0.1955,1292,3.57,0.2,10.0,2.0,0.3,,,
DecisionTree,CTGAN_HYBRID,0.8429,0.8322,0.8429,0.8373,0.5871,5.6638,0.1864,0.1872,1292,3.57,0.2,10.0,2.0,0.3,300,1,36168
DecisionTree,GaussianCopula_HYBRID,0.7969,0.8067,0.7969,0.8017,0.5336,7.3219,0.064,0.0641,1292,3.57,0.2,10.0,2.0,0.3,300,1,36168
DecisionTree,TVAE_HYBRID,0.8526,0.8376,0.8526,0.8444,0.5947,5.3131,0.2098,0.2119,1292,3.57,0.2,10.0,2.0,0.3,300,1,36168
DecisionTree,Anonymous,0.8143,0.8333,0.8143,0.8232,0.6054,6.6922,0.19,0.1916,1865,5.16,0.2,12.0,2.0,0.3,,,
DecisionTree,Anonymous,0.8195,0.836,0.8195,0.8272,0.6116,6.5049,0.2036,0.205,1468,4.06,0.2,14.0,2.0,0.3,,,
DecisionTree,CTGAN_HYBRID,0.7763,0.8259,0.7763,0.7979,0.5921,8.0633,0.1454,0.1512,1468,4.06,0.2,14.0,2.0,0.3,300,1,36168
DecisionTree,GaussianCopula_HYBRID,0.7903,0.8011,0.7903,0.7956,0.5197,7.5571,0.0373,0.0374,1468,4.06,0.2,14.0,2.0,0.3,300,1,36168
DecisionTree,TVAE_HYBRID,0.8537,0.836,0.8537,0.8438,0.5888,5.2732,0.2005,0.2034,1468,4.06,0.2,14.0,2.0,0.3,300,1,36168
DecisionTree,Anonymous,0.8211,0.8344,0.8211,0.8274,0.606,6.449,0.1966,0.1975,1570,4.34,0.2,16.0,2.0,0.3,,,
DecisionTree,Anonymous,0.8204,0.8364,0.8204,0.8279,0.6125,6.473,0.2057,0.207,1671,4.62,0.2,18.0,2.0,0.3,,,
DecisionTree,Anonymous,0.8188,0.8339,0.8188,0.8259,0.6055,6.5327,0.1939,0.1949,1782,4.93,0.2,20.0,2.0,0.3,,,
DecisionTree,CTGAN_HYBRID,0.8416,0.8287,0.8416,0.8348,0.5778,5.7077,0.1688,0.1699,1782,4.93,0.2,20.0,2.0,0.3,300,1,36168
DecisionTree,GaussianCopula_HYBRID,0.7857,0.8124,0.7857,0.7982,0.5511,7.7245,0.0897,0.0908,1782,4.93,0.2,20.0,2.0,0.3,300,1,36168
DecisionTree,TVAE_HYBRID,0.8807,0.8513,0.8807,0.8579,0.5831,4.3007,0.2236,0.2503,1782,4.93,0.2,20.0,2.0,0.3,300,1,36168
DecisionTree,Anonymous,0.8295,0.8378,0.8295,0.8335,0.6124,6.1461,0.214,0.2144,1858,5.14,0.2,2.0,2.0,0.3,,,
DecisionTree,CTGAN_HYBRID,0.7039,0.8208,0.7039,0.7493,0.5806,10.674,0.1011,0.1157,1858,5.14,0.2,2.0,2.0,0.3,300,1,36168
DecisionTree,GaussianCopula_HYBRID,0.7998,0.8078,0.7998,0.8037,0.5361,7.2143,0.0694,0.0695,1858,5.14,0.2,2.0,2.0,0.3,300,1,36168
DecisionTree,TVAE_HYBRID,0.7619,0.8266,0.7619,0.7891,0.5958,8.5814,0.1426,0.1513,1858,5.14,0.2,2.0,2.0,0.3,300,1,36168
DecisionTree,Anonymous,0.8293,0.8376,0.8293,0.8333,0.6118,6.1542,0.213,0.2134,1913,5.29,0.2,4.0,2.0,0.3,,,
DecisionTree,Anonymous,0.8168,0.8339,0.8168,0.8248,0.6066,6.6009,0.1935,0.1949,2901,8.02,0.2,50.0,2.0,0.3,,,
DecisionTree,Anonymous,0.8266,0.8349,0.8266,0.8306,0.605,6.2498,0.2001,0.2005,2073,5.73,0.2,6.0,2.0,0.3,,,
DecisionTree,CTGAN_HYBRID,0.8357,0.8295,0.8357,0.8325,0.5839,5.9229,0.1742,0.1744,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
DecisionTree,GaussianCopula_HYBRID,0.7795,0.8055,0.7795,0.7918,0.5324,7.9477,0.0573,0.0579,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
DecisionTree,TVAE_HYBRID,0.8233,0.8227,0.8233,0.823,0.5707,6.3693,0.1419,0.1419,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
DecisionTree,Anonymous,0.8107,0.831,0.8107,0.8201,0.5997,6.8237,0.1787,0.1803,1207,3.34,0.2,8.0,2.0,0.3,,,
