Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.875,0.8341,0.875,0.8446,0.6035,2.119,0.1349,0.1631,1746,4.83,0.2,100.0,2.0,0.05,,,
KNN,Anonymous,0.877,0.8365,0.877,0.8455,0.6061,2.0681,0.1365,0.1689,1292,3.57,0.2,10.0,2.0,0.05,,,
KNN,CTGAN_HYBRID,0.845,0.825,0.845,0.834,0.6079,1.5365,0.1484,0.1507,1292,3.57,0.2,10.0,2.0,0.05,300,1,36168
KNN,GaussianCopula_HYBRID,0.8791,0.8063,0.8791,0.829,0.532,2.7268,0.012,0.0274,1292,3.57,0.2,10.0,2.0,0.05,300,1,36168
KNN,TVAE_HYBRID,0.8084,0.8135,0.8084,0.8109,0.5983,2.6831,0.0973,0.0973,1292,3.57,0.2,10.0,2.0,0.05,300,1,36168
KNN,Anonymous,0.8768,0.8359,0.8768,0.8451,0.6058,2.0719,0.1339,0.166,1431,3.96,0.2,12.0,2.0,0.05,,,
KNN,Anonymous,0.8767,0.8357,0.8767,0.845,0.6048,2.0725,0.1337,0.1655,1468,4.06,0.2,14.0,2.0,0.05,,,
KNN,CTGAN_HYBRID,0.878,0.8281,0.878,0.8379,0.59,2.7039,0.0771,0.1138,1468,4.06,0.2,14.0,2.0,0.05,300,1,36168
KNN,GaussianCopula_HYBRID,0.8799,0.8073,0.8799,0.829,0.5183,2.6034,0.0108,0.0269,1468,4.06,0.2,14.0,2.0,0.05,300,1,36168
KNN,TVAE_HYBRID,0.854,0.8136,0.854,0.8302,0.5922,2.6345,0.083,0.0901,1468,4.06,0.2,14.0,2.0,0.05,300,1,36168
KNN,Anonymous,0.8766,0.8356,0.8766,0.8449,0.605,2.0725,0.1334,0.165,1570,4.34,0.2,16.0,2.0,0.05,,,
KNN,Anonymous,0.8766,0.8357,0.8766,0.8451,0.6045,2.0799,0.1344,0.166,1671,4.62,0.2,18.0,2.0,0.05,,,
KNN,Anonymous,0.8761,0.8349,0.8761,0.8447,0.6042,2.0839,0.1324,0.1631,1782,4.93,0.2,20.0,2.0,0.05,,,
KNN,CTGAN_HYBRID,0.8405,0.8131,0.8405,0.8254,0.5696,1.6662,0.0902,0.0928,1782,4.93,0.2,20.0,2.0,0.05,300,1,36168
KNN,GaussianCopula_HYBRID,0.8765,0.7879,0.8765,0.8259,0.5044,2.6913,-0.0055,-0.0121,1782,4.93,0.2,20.0,2.0,0.05,300,1,36168
KNN,TVAE_HYBRID,0.8611,0.8161,0.8611,0.8333,0.5807,1.6362,0.0856,0.097,1782,4.93,0.2,20.0,2.0,0.05,300,1,36168
KNN,Anonymous,0.8766,0.8354,0.8766,0.8448,0.6049,2.098,0.1324,0.1641,1447,4.0,0.2,2.0,2.0,0.05,,,
KNN,CTGAN_HYBRID,0.8782,0.8276,0.8782,0.8374,0.5798,2.6588,0.0728,0.1098,1447,4.0,0.2,2.0,2.0,0.05,300,1,36168
KNN,GaussianCopula_HYBRID,0.8774,0.7998,0.8774,0.8279,0.5217,2.7046,0.0071,0.0149,1447,4.0,0.2,2.0,2.0,0.05,300,1,36168
KNN,TVAE_HYBRID,0.8419,0.81,0.8419,0.8242,0.5965,2.5002,0.0745,0.0775,1447,4.0,0.2,2.0,2.0,0.05,300,1,36168
KNN,Anonymous,0.8769,0.8359,0.8769,0.845,0.6046,2.0945,0.1332,0.1656,1469,4.06,0.2,4.0,2.0,0.05,,,
KNN,Anonymous,0.8756,0.836,0.8756,0.8459,0.6105,2.0344,0.1432,0.1718,1345,3.72,0.2,50.0,2.0,0.05,,,
KNN,Anonymous,0.876,0.8347,0.876,0.8446,0.6062,2.0868,0.1321,0.1626,1549,4.28,0.2,6.0,2.0,0.05,,,
KNN,CTGAN_HYBRID,0.8781,0.8278,0.8781,0.8376,0.5781,2.8826,0.0749,0.1118,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
KNN,GaussianCopula_HYBRID,0.8775,0.799,0.8775,0.8278,0.5203,2.7734,0.006,0.0128,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
KNN,TVAE_HYBRID,0.8767,0.8254,0.8767,0.8372,0.5908,2.2869,0.0753,0.1081,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
KNN,Anonymous,0.8769,0.8364,0.8769,0.8454,0.6054,2.0828,0.1363,0.1684,1207,3.34,0.2,8.0,2.0,0.05,,,
