Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.8759,0.8536,0.8759,0.8613,0.6991,0.3625,0.2673,0.2791,1810,5.0,0.2,100.0,2.0,0.3,,,
LogisticRegression,Anonymous,0.893,0.872,0.893,0.8652,0.7513,0.3096,0.2456,0.3057,1292,3.57,0.2,10.0,2.0,0.3,,,
LogisticRegression,CTGAN_HYBRID,0.8935,0.8731,0.8935,0.8661,0.6838,0.3701,0.2518,0.3117,1292,3.57,0.2,10.0,2.0,0.3,300,1,36168
LogisticRegression,GaussianCopula_HYBRID,0.8829,0.7797,0.8829,0.8281,0.7072,0.3423,-0.0002,-0.0038,1292,3.57,0.2,10.0,2.0,0.3,300,1,36168
LogisticRegression,TVAE_HYBRID,0.8854,0.86,0.8854,0.8645,0.7067,0.425,0.2622,0.2907,1292,3.57,0.2,10.0,2.0,0.3,300,1,36168
LogisticRegression,Anonymous,0.8928,0.872,0.8928,0.8645,0.7479,0.3106,0.2408,0.3026,1865,5.16,0.2,12.0,2.0,0.3,,,
LogisticRegression,Anonymous,0.8927,0.8715,0.8927,0.8649,0.7507,0.3099,0.2441,0.3038,1468,4.06,0.2,14.0,2.0,0.3,,,
LogisticRegression,CTGAN_HYBRID,0.8883,0.8647,0.8883,0.868,0.724,0.3369,0.2815,0.3118,1468,4.06,0.2,14.0,2.0,0.3,300,1,36168
LogisticRegression,GaussianCopula_HYBRID,0.8828,0.7797,0.8828,0.828,0.7333,0.3368,-0.0004,-0.0054,1468,4.06,0.2,14.0,2.0,0.3,300,1,36168
LogisticRegression,TVAE_HYBRID,0.8906,0.8667,0.8906,0.8631,0.7125,0.4074,0.2361,0.2895,1468,4.06,0.2,14.0,2.0,0.3,300,1,36168
LogisticRegression,Anonymous,0.8926,0.8713,0.8926,0.8647,0.7497,0.3104,0.2428,0.3026,1570,4.34,0.2,16.0,2.0,0.3,,,
LogisticRegression,Anonymous,0.8925,0.871,0.8925,0.8645,0.7495,0.3105,0.2416,0.3014,1671,4.62,0.2,18.0,2.0,0.3,,,
LogisticRegression,Anonymous,0.8925,0.871,0.8925,0.8645,0.7486,0.3109,0.2416,0.3014,1782,4.93,0.2,20.0,2.0,0.3,,,
LogisticRegression,CTGAN_HYBRID,0.8934,0.8732,0.8934,0.8654,0.7203,0.3366,0.2461,0.3082,1782,4.93,0.2,20.0,2.0,0.3,300,1,36168
LogisticRegression,GaussianCopula_HYBRID,0.8828,0.7797,0.8828,0.828,0.7232,0.3384,-0.0004,-0.0054,1782,4.93,0.2,20.0,2.0,0.3,300,1,36168
LogisticRegression,TVAE_HYBRID,0.8734,0.8446,0.8734,0.8539,0.7291,0.6138,0.2142,0.2304,1782,4.93,0.2,20.0,2.0,0.3,300,1,36168
LogisticRegression,Anonymous,0.8941,0.8749,0.8941,0.8657,0.7547,0.3069,0.2471,0.3123,1858,5.14,0.2,2.0,2.0,0.3,,,
LogisticRegression,CTGAN_HYBRID,0.8826,0.8622,0.8826,0.8685,0.7388,0.3606,0.3044,0.3183,1858,5.14,0.2,2.0,2.0,0.3,300,1,36168
LogisticRegression,GaussianCopula_HYBRID,0.8829,0.7797,0.8829,0.8281,0.6964,0.3439,-0.0002,-0.0038,1858,5.14,0.2,2.0,2.0,0.3,300,1,36168
LogisticRegression,TVAE_HYBRID,0.7776,0.8285,0.7776,0.7996,0.6652,1.1229,0.1564,0.1631,1858,5.14,0.2,2.0,2.0,0.3,300,1,36168
LogisticRegression,Anonymous,0.8941,0.8749,0.8941,0.8657,0.7547,0.3069,0.2471,0.3123,1913,5.29,0.2,4.0,2.0,0.3,,,
LogisticRegression,Anonymous,0.8932,0.8726,0.8932,0.8651,0.7526,0.3099,0.2445,0.3063,2901,8.02,0.2,50.0,2.0,0.3,,,
LogisticRegression,Anonymous,0.8941,0.8749,0.8941,0.8657,0.7548,0.3069,0.2471,0.3123,2073,5.73,0.2,6.0,2.0,0.3,,,
LogisticRegression,CTGAN_HYBRID,0.8938,0.8739,0.8938,0.8666,0.7238,0.3331,0.2545,0.3149,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
LogisticRegression,GaussianCopula_HYBRID,0.8829,0.7797,0.8829,0.8281,0.6767,0.3468,-0.0002,-0.0038,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
LogisticRegression,TVAE_HYBRID,0.8849,0.8526,0.8849,0.8519,0.6708,0.4877,0.1653,0.2176,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
LogisticRegression,Anonymous,0.893,0.872,0.893,0.8652,0.7511,0.3097,0.2456,0.3057,1207,3.34,0.2,8.0,2.0,0.3,,,
