Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,CTGAN,0.8307,0.8214,0.8307,0.8259,0.5639,6.1023,0.1348,0.1352,,,0.2,,,,50.0,10.0,361680
DecisionTree,TVAE,0.878,0.857,0.878,0.8642,0.6173,4.3963,0.2844,0.296,,,0.2,,,,50.0,10.0,361680
DecisionTree,CTGAN,0.7552,0.8264,0.7552,0.7848,0.5961,8.8246,0.1396,0.1495,,,0.2,,,,50.0,1.0,36168
DecisionTree,TVAE,0.8629,0.8446,0.8629,0.8523,0.6042,4.9424,0.239,0.2435,,,0.2,,,,50.0,1.0,36168
DecisionTree,CTGAN,0.7663,0.8145,0.7663,0.7878,0.5594,8.422,0.095,0.0985,,,0.2,,,,50.0,2.0,72336
DecisionTree,TVAE,0.8322,0.8309,0.8322,0.8316,0.5902,6.0465,0.1817,0.1817,,,0.2,,,,50.0,2.0,72336
DecisionTree,CTGAN,0.7548,0.821,0.7548,0.783,0.5799,8.8365,0.1187,0.1261,,,0.2,,,,50.0,3.0,108504
DecisionTree,TVAE,0.8724,0.8443,0.8724,0.8537,0.585,4.5996,0.2158,0.2306,,,0.2,,,,50.0,3.0,108504
DecisionTree,CTGAN,0.7548,0.8243,0.7548,0.784,0.5898,8.8365,0.1314,0.1403,,,0.2,,,,50.0,5.0,180840
DecisionTree,TVAE,0.8716,0.844,0.8716,0.8535,0.5858,4.6275,0.2164,0.2302,,,0.2,,,,50.0,5.0,180840
