Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,CTGAN,0.7161,0.8195,0.7161,0.7574,0.5769,10.2316,0.1007,0.1128,,,0.2,,,,100.0,10.0,361680
DecisionTree,TVAE,0.8755,0.8493,0.8755,0.8577,0.5945,4.488,0.2388,0.2543,,,0.2,,,,100.0,10.0,361680
DecisionTree,CTGAN,0.738,0.823,0.738,0.7727,0.5868,9.4424,0.1205,0.1314,,,0.2,,,,100.0,1.0,36168
DecisionTree,TVAE,0.8496,0.8373,0.8496,0.843,0.5967,5.4207,0.2099,0.2112,,,0.2,,,,100.0,1.0,36168
DecisionTree,CTGAN,0.7261,0.8252,0.7261,0.7653,0.5936,9.8728,0.1237,0.138,,,0.2,,,,100.0,2.0,72336
DecisionTree,TVAE,0.8701,0.8445,0.8701,0.8538,0.5911,4.6833,0.2246,0.2358,,,0.2,,,,100.0,2.0,72336
DecisionTree,CTGAN,0.7237,0.8201,0.7237,0.7625,0.5787,9.9605,0.1053,0.1167,,,0.2,,,,100.0,3.0,108504
DecisionTree,TVAE,0.8703,0.8457,0.8703,0.8547,0.5945,4.6754,0.2313,0.242,,,0.2,,,,100.0,3.0,108504
DecisionTree,CTGAN,0.7261,0.8223,0.7261,0.7647,0.585,9.8728,0.1136,0.126,,,0.2,,,,100.0,5.0,180840
DecisionTree,TVAE,0.8561,0.8372,0.8561,0.8454,0.5902,5.1816,0.2049,0.2085,,,0.2,,,,100.0,5.0,180840
