Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,CTGAN,0.8471,0.8301,0.8471,0.8378,0.6252,1.6953,0.1734,0.1754,,,0.2,,,,1000.0,10.0,361680
KNN,TVAE,0.8791,0.8222,0.8791,0.8336,0.5817,2.5553,0.0438,0.0782,,,0.2,,,,1000.0,10.0,361680
KNN,CTGAN,0.8632,0.8244,0.8632,0.8388,0.6006,1.9481,0.1234,0.1362,,,0.2,,,,1000.0,1.0,36168
KNN,TVAE,0.8812,0.8291,0.8812,0.8338,0.5714,2.5915,0.0418,0.085,,,0.2,,,,1000.0,1.0,36168
KNN,CTGAN,0.877,0.8183,0.877,0.8333,0.5741,2.4322,0.0457,0.0742,,,0.2,,,,1000.0,2.0,72336
KNN,TVAE,0.8794,0.8188,0.8794,0.832,0.5602,2.7201,0.0325,0.0633,,,0.2,,,,1000.0,2.0,72336
KNN,CTGAN,0.8802,0.8328,0.8802,0.8384,0.5768,2.506,0.076,0.1205,,,0.2,,,,1000.0,3.0,108504
KNN,TVAE,0.8787,0.818,0.8787,0.8322,0.5706,2.6323,0.0351,0.0647,,,0.2,,,,1000.0,3.0,108504
KNN,CTGAN,0.8682,0.8148,0.8682,0.8332,0.5797,2.1765,0.0655,0.0824,,,0.2,,,,1000.0,5.0,180840
KNN,TVAE,0.8784,0.8148,0.8784,0.8313,0.568,2.5877,0.0292,0.0549,,,0.2,,,,1000.0,5.0,180840
