Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,CTGAN,0.8931,0.872,0.8931,0.8661,0.688,0.3331,0.2522,0.3098,,,0.2,,,,300.0,10.0,361680
LogisticRegression,GaussianCopula,0.8829,0.7797,0.8829,0.8281,0.7298,0.339,-0.0002,-0.0038,,,0.2,,,,300.0,10.0,361680
LogisticRegression,TVAE,0.8632,0.8437,0.8632,0.8518,0.6996,0.5503,0.2333,0.2384,,,0.2,,,,300.0,10.0,361680
LogisticRegression,CTGAN,0.8931,0.872,0.8931,0.8661,0.6837,0.3349,0.2522,0.3098,,,0.2,,,,300.0,1.0,36168
LogisticRegression,GaussianCopula,0.8828,0.7797,0.8828,0.828,0.7195,0.3413,-0.0004,-0.0054,,,0.2,,,,300.0,1.0,36168
LogisticRegression,TVAE,0.8594,0.8427,0.8594,0.85,0.7003,0.5697,0.2319,0.2353,,,0.2,,,,300.0,1.0,36168
LogisticRegression,CTGAN,0.8932,0.8723,0.8932,0.8661,0.6829,0.3361,0.2526,0.3105,,,0.2,,,,300.0,2.0,72336
LogisticRegression,GaussianCopula,0.8829,0.7797,0.8829,0.8281,0.723,0.3401,-0.0002,-0.0038,,,0.2,,,,300.0,2.0,72336
LogisticRegression,TVAE,0.8596,0.8421,0.8596,0.8497,0.6991,0.5726,0.2286,0.2322,,,0.2,,,,300.0,2.0,72336
LogisticRegression,CTGAN,0.8932,0.8723,0.8932,0.8661,0.6827,0.3337,0.2526,0.3105,,,0.2,,,,300.0,3.0,108504
LogisticRegression,GaussianCopula,0.8829,0.7797,0.8829,0.8281,0.7303,0.3382,-0.0002,-0.0038,,,0.2,,,,300.0,3.0,108504
LogisticRegression,TVAE,0.8596,0.8423,0.8596,0.8497,0.6979,0.5734,0.2293,0.2329,,,0.2,,,,300.0,3.0,108504
LogisticRegression,CTGAN,0.8932,0.8723,0.8932,0.8661,0.6882,0.3339,0.2526,0.3105,,,0.2,,,,300.0,5.0,180840
LogisticRegression,GaussianCopula,0.8829,0.7797,0.8829,0.8281,0.732,0.3386,-0.0002,-0.0038,,,0.2,,,,300.0,5.0,180840
LogisticRegression,TVAE,0.8608,0.8427,0.8608,0.8504,0.6995,0.562,0.2306,0.2347,,,0.2,,,,300.0,5.0,180840
LogisticRegression,CTGAN,0.8931,0.872,0.8931,0.8661,0.6729,0.3355,0.2522,0.3098,,,0.2,,,,300,1,36168
