Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,CTGAN,0.8933,0.8735,0.8933,0.8641,0.6982,0.4661,0.2366,0.3028,,,0.2,,,,200.0,10.0,361680
RandomForest,TVAE,0.8882,0.8611,0.8882,0.8575,0.7261,1.4442,0.1992,0.2556,,,0.2,,,,200.0,10.0,361680
RandomForest,CTGAN,0.8919,0.8708,0.8919,0.8607,0.6964,0.5203,0.2144,0.2834,,,0.2,,,,200.0,1.0,36168
RandomForest,TVAE,0.8889,0.8635,0.8889,0.8549,0.74,1.3079,0.178,0.2458,,,0.2,,,,200.0,1.0,36168
RandomForest,CTGAN,0.8912,0.8698,0.8912,0.8585,0.713,0.4784,0.1997,0.2718,,,0.2,,,,200.0,2.0,72336
RandomForest,TVAE,0.8875,0.8595,0.8875,0.8542,0.7355,1.2979,0.1765,0.2376,,,0.2,,,,200.0,2.0,72336
RandomForest,CTGAN,0.8906,0.8673,0.8906,0.8597,0.7083,0.4553,0.2099,0.2741,,,0.2,,,,200.0,3.0,108504
RandomForest,TVAE,0.8884,0.8617,0.8884,0.857,0.741,1.3284,0.1949,0.2539,,,0.2,,,,200.0,3.0,108504
RandomForest,CTGAN,0.8924,0.873,0.8924,0.8604,0.6924,0.4659,0.2111,0.2851,,,0.2,,,,200.0,5.0,180840
RandomForest,TVAE,0.8867,0.8571,0.8867,0.8535,0.7304,1.4227,0.1731,0.231,,,0.2,,,,200.0,5.0,180840
