Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,CTGAN,0.8811,0.8596,0.8811,0.8663,0.729,0.352,0.2913,0.3056,,,0.2,,,,1000.0,10.0,361680
LogisticRegression,TVAE,0.8924,0.8723,0.8924,0.8612,0.6867,0.3513,0.217,0.288,,,0.2,,,,1000.0,10.0,361680
LogisticRegression,CTGAN,0.8934,0.8725,0.8934,0.8675,0.7269,0.3228,0.2628,0.3172,,,0.2,,,,1000.0,1.0,36168
LogisticRegression,TVAE,0.8923,0.8722,0.8923,0.8608,0.6857,0.353,0.2147,0.2862,,,0.2,,,,1000.0,1.0,36168
LogisticRegression,CTGAN,0.8842,0.8522,0.8842,0.8357,0.6983,0.3334,0.0496,0.1188,,,0.2,,,,1000.0,2.0,72336
LogisticRegression,TVAE,0.8922,0.8716,0.8922,0.8612,0.6881,0.3504,0.2173,0.2868,,,0.2,,,,1000.0,2.0,72336
LogisticRegression,CTGAN,0.8933,0.8745,0.8933,0.8626,0.7216,0.3348,0.2253,0.2974,,,0.2,,,,1000.0,3.0,108504
LogisticRegression,TVAE,0.8921,0.8713,0.8921,0.861,0.6882,0.3511,0.216,0.2855,,,0.2,,,,1000.0,3.0,108504
LogisticRegression,CTGAN,0.894,0.8744,0.894,0.866,0.7264,0.3164,0.2495,0.3129,,,0.2,,,,1000.0,5.0,180840
LogisticRegression,TVAE,0.8923,0.8721,0.8923,0.861,0.6883,0.3507,0.2157,0.2867,,,0.2,,,,1000.0,5.0,180840
