Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,CTGAN,0.8779,0.8579,0.8779,0.8649,0.7095,0.3771,0.2911,0.3016,,,0.2,,,,100.0,10.0,361680
LogisticRegression,TVAE,0.8879,0.8607,0.8879,0.8597,0.7237,0.5705,0.2173,0.2661,,,0.2,,,,100.0,10.0,361680
LogisticRegression,CTGAN,0.8774,0.8577,0.8774,0.8647,0.7126,0.3763,0.2911,0.3009,,,0.2,,,,100.0,1.0,36168
LogisticRegression,TVAE,0.8849,0.8568,0.8849,0.8605,0.7243,0.5786,0.2314,0.2664,,,0.2,,,,100.0,1.0,36168
LogisticRegression,CTGAN,0.8786,0.8584,0.8786,0.8653,0.7109,0.377,0.2922,0.3032,,,0.2,,,,100.0,2.0,72336
LogisticRegression,TVAE,0.8864,0.8584,0.8864,0.86,0.7254,0.5646,0.2233,0.2652,,,0.2,,,,100.0,2.0,72336
LogisticRegression,CTGAN,0.8773,0.8569,0.8773,0.864,0.7101,0.3764,0.2859,0.2964,,,0.2,,,,100.0,3.0,108504
LogisticRegression,TVAE,0.8872,0.8594,0.8872,0.8594,0.7238,0.5614,0.2163,0.263,,,0.2,,,,100.0,3.0,108504
LogisticRegression,CTGAN,0.879,0.8583,0.879,0.8653,0.7099,0.3759,0.2899,0.3018,,,0.2,,,,100.0,5.0,180840
LogisticRegression,TVAE,0.8869,0.8589,0.8869,0.8595,0.7254,0.5678,0.2182,0.2631,,,0.2,,,,100.0,5.0,180840
