Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,CTGAN,0.8767,0.8249,0.8767,0.8369,0.5751,2.6643,0.073,0.1056,,,0.2,,,,200.0,10.0,361680
KNN,TVAE,0.8198,0.8163,0.8198,0.818,0.6133,2.7481,0.1108,0.1109,,,0.2,,,,200.0,10.0,361680
KNN,CTGAN,0.8738,0.8169,0.8738,0.8338,0.5789,2.6308,0.0562,0.08,,,0.2,,,,200.0,1.0,36168
KNN,TVAE,0.8724,0.826,0.8724,0.8395,0.6068,2.4804,0.1028,0.1275,,,0.2,,,,200.0,1.0,36168
KNN,CTGAN,0.8769,0.8254,0.8769,0.8371,0.5848,2.6092,0.0735,0.1067,,,0.2,,,,200.0,2.0,72336
KNN,TVAE,0.7992,0.8159,0.7992,0.8072,0.6113,2.5395,0.1078,0.1084,,,0.2,,,,200.0,2.0,72336
KNN,CTGAN,0.8771,0.8253,0.8771,0.8369,0.5782,2.6151,0.0716,0.1052,,,0.2,,,,200.0,3.0,108504
KNN,TVAE,0.8456,0.8219,0.8456,0.8325,0.611,2.6024,0.1318,0.1349,,,0.2,,,,200.0,3.0,108504
KNN,CTGAN,0.8761,0.8196,0.8761,0.8343,0.5733,2.6569,0.055,0.0835,,,0.2,,,,200.0,5.0,180840
KNN,TVAE,0.8233,0.8181,0.8233,0.8207,0.6138,2.7047,0.1195,0.1196,,,0.2,,,,200.0,5.0,180840
