Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,CTGAN,0.8932,0.8731,0.8932,0.8641,0.74,0.3192,0.2372,0.3025,,,0.2,,,,750.0,10.0,361680
LogisticRegression,TVAE,0.8471,0.8318,0.8471,0.8388,0.7095,0.7207,0.1824,0.1841,,,0.2,,,,750.0,10.0,361680
LogisticRegression,CTGAN,0.8933,0.8733,0.8933,0.8644,0.7379,0.3212,0.2394,0.3042,,,0.2,,,,750.0,1.0,36168
LogisticRegression,TVAE,0.8617,0.8327,0.8617,0.844,0.6384,0.4422,0.1719,0.1808,,,0.2,,,,750.0,1.0,36168
LogisticRegression,CTGAN,0.8854,0.8607,0.8854,0.8656,0.7176,0.3498,0.271,0.2972,,,0.2,,,,750.0,2.0,72336
LogisticRegression,TVAE,0.8505,0.8326,0.8505,0.8406,0.709,0.6886,0.1848,0.1874,,,0.2,,,,750.0,2.0,72336
LogisticRegression,CTGAN,0.893,0.8723,0.893,0.8643,0.7221,0.3294,0.2393,0.3024,,,0.2,,,,750.0,3.0,108504
LogisticRegression,TVAE,0.8514,0.833,0.8514,0.8412,0.7095,0.6859,0.1859,0.1887,,,0.2,,,,750.0,3.0,108504
LogisticRegression,CTGAN,0.893,0.8726,0.893,0.8638,0.7399,0.3194,0.2356,0.3005,,,0.2,,,,750.0,5.0,180840
LogisticRegression,TVAE,0.851,0.8321,0.851,0.8405,0.7107,0.6825,0.1814,0.1843,,,0.2,,,,750.0,5.0,180840
