Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.8217,0.8335,0.8217,0.8273,0.6031,6.4251,0.1928,0.1935,1549,4.28,0.2,6.0,2.0,0.05,,,
DecisionTree,CTGAN_HYBRID,0.8523,0.834,0.8523,0.8421,0.5843,5.325,0.1907,0.1936,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
DecisionTree,GaussianCopula_HYBRID,0.7818,0.8091,0.7818,0.7946,0.5423,7.864,0.0742,0.0752,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
DecisionTree,TVAE_HYBRID,0.8192,0.8268,0.8192,0.8229,0.584,6.5168,0.1611,0.1613,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
DecisionTree,Anonymous,0.8266,0.8349,0.8266,0.8306,0.605,6.2498,0.2001,0.2005,2073,5.73,0.2,6.0,2.0,0.3,,,
DecisionTree,CTGAN_HYBRID,0.8357,0.8295,0.8357,0.8325,0.5839,5.9229,0.1742,0.1744,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
DecisionTree,GaussianCopula_HYBRID,0.7795,0.8055,0.7795,0.7918,0.5324,7.9477,0.0573,0.0579,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
DecisionTree,TVAE_HYBRID,0.8233,0.8227,0.8233,0.823,0.5707,6.3693,0.1419,0.1419,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
DecisionTree,Anonymous,0.828,0.8362,0.828,0.832,0.6082,6.198,0.2065,0.2068,2073,5.73,0.2,6.0,2.0,1.0,,,
DecisionTree,CTGAN_HYBRID,0.8299,0.8187,0.8299,0.8241,0.5569,6.1302,0.1214,0.1219,2073,5.73,0.2,6.0,2.0,1.0,300,1,36168
DecisionTree,GaussianCopula_HYBRID,0.7791,0.8024,0.7791,0.7902,0.524,7.9636,0.0429,0.0433,2073,5.73,0.2,6.0,2.0,1.0,300,1,36168
DecisionTree,TVAE_HYBRID,0.8391,0.8353,0.8391,0.8372,0.599,5.7993,0.2026,0.2027,2073,5.73,0.2,6.0,2.0,1.0,300,1,36168
